channel names:							
027_-58_174_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	027_-58_174_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	027_-58_174_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	027_-58_174_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	027_-58_174_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	027_-58_174_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	027_-58_174_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	027_-58_174_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:18:24,531560	23.05.2024 15:18:24,531560	23.05.2024 15:18:24,531560	23.05.2024 15:18:24,531560	23.05.2024 15:18:24,531560	23.05.2024 15:18:24,531560	23.05.2024 15:18:24,531560	23.05.2024 15:18:24,531560
dt:							
0,020000							
data:							
2,962804E-1	4,665557E-2	-7,254779E-1	2,328221E-1	-5,281103E-1	-4,338587E-1	-5,082133E-2	-9,894687E-2
2,963161E-1	4,677478E-2	-7,254183E-1	2,327982E-1	-5,280030E-1	-4,338945E-1	-5,088093E-2	-9,894687E-2
2,963519E-1	4,670326E-2	-7,254064E-1	2,329294E-1	-5,279673E-1	-4,338945E-1	-5,109551E-2	-9,885150E-2
2,962923E-1	4,670326E-2	-7,253468E-1	2,328102E-1	-5,279077E-1	-4,339898E-1	-5,090477E-2	-9,870845E-2
2,963400E-1	4,677478E-2	-7,254899E-1	2,328221E-1	-5,278957E-1	-4,339302E-1	-5,072596E-2	-9,876806E-2
2,963519E-1	4,685823E-2	-7,254779E-1	2,330486E-1	-5,279553E-1	-4,338945E-1	-5,078557E-2	-9,874421E-2
2,964115E-1	4,688207E-2	-7,253707E-1	2,329651E-1	-5,279673E-1	-4,338229E-1	-5,095246E-2	-9,880382E-2
2,964711E-1	4,681054E-2	-7,253826E-1	2,328698E-1	-5,277050E-1	-4,338349E-1	-5,074980E-2	-9,881574E-2
2,963638E-1	4,684631E-2	-7,254064E-1	2,327744E-1	-5,279434E-1	-4,339064E-1	-5,080941E-2	-9,880382E-2
2,963161E-1	4,670326E-2	-7,254541E-1	2,326313E-1	-5,280030E-1	-4,340256E-1	-5,083325E-2	-9,886342E-2
2,963400E-1	4,669133E-2	-7,254183E-1	2,326075E-1	-5,278838E-1	-4,340971E-1	-5,100014E-2	-9,883958E-2
2,962804E-1	4,669133E-2	-7,253945E-1	2,326790E-1	-5,280030E-1	-4,340375E-1	-5,110743E-2	-9,901839E-2
2,963280E-1	4,670326E-2	-7,254779E-1	2,327505E-1	-5,277884E-1	-4,339421E-1	-5,086901E-2	-9,894687E-2
