Messwert,X,Y,F,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
1,-232,-174,20,3.65375,3.204625,3.35225,3.4322500000000002,3.297875,3.297125,3.6197500000000002,3.55025
2,-232,-174,20,2.70875,2.5815,2.839125,1.898125,3.112,2.9785,2.970625,3.374625
1-2,-232,-174,20,0.9449999999999998,0.6231249999999999,0.513125,1.5341250000000002,0.1858749999999998,0.31862499999999994,0.6491250000000002,0.17562500000000014
