Datei_ID,X,Y,F,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
92,174,58,20,2.146875,2.89175,2.64075,3.237625,3.043875,3.046875,1.50925,3.047875
93,174,0,20,2.014125,2.898,2.684375,3.202125,3.0387500000000003,3.019375,0.974,3.33075
94,174,-58,20,2.255125,2.9295,2.67475,3.17825,3.011625,2.815,1.78325,3.270125
95,174,-116,20,2.6048750000000003,2.947625,2.7138750000000003,3.165,3.028,2.54825,2.457,3.2611250000000003
96,174,-174,20,2.829,2.957625,2.7022500000000003,3.1555,3.02225,2.26525,2.85125,3.267625
97,174,-232,20,3.065125,2.965875,2.747375,3.1590000000000003,3.0383750000000003,1.991625,3.1425,3.319
98,174,-290,20,3.318875,3.00075,2.912125,3.20325,3.109,2.253375,3.4255,3.42975
99,232,290,20,3.212125,3.040875,3.0315,3.3365,3.1135,3.085875,3.385125,1.4805
100,232,232,20,3.012,2.9895,2.954625,3.319,3.09925,3.0275,3.067625,1.61925
101,232,174,20,2.7995,2.954625,2.91925,3.30075,3.097875,3.01575,2.7763750000000003,2.081375
102,232,116,20,2.5812500000000003,2.929375,2.90425,3.2803750000000003,3.1085000000000003,3.0383750000000003,2.431,2.600125
103,232,58,20,2.289125,2.908875,2.9085,3.2491250000000003,3.121125,3.09475,1.65425,3.0805
104,232,0,20,2.139625,2.904,2.943125,3.207375,3.115125,3.0772500000000003,0.660625,3.48475
105,232,-58,20,2.4005,2.9365,2.92275,3.18925,3.0875,2.749625,1.98225,3.347375
106,232,-116,20,2.648,2.958875,2.904375,3.18825,3.09675,2.374875,2.601125,3.273625
107,232,-174,20,2.899875,2.9758750000000003,2.91225,3.182875,3.094875,1.97425,2.9865,3.27875
108,232,-232,20,3.110125,2.995875,2.942375,3.192875,3.103125,1.5585,3.24625,3.34
109,232,-290,20,3.28175,3.012875,2.993625,3.194,3.133125,1.64925,3.45375,3.4330000000000003
110,290,290,20,3.283875,3.078875,3.254875,3.35975,3.1481250000000003,3.077875,3.52425,0.74275
111,290,232,20,3.103,3.036875,3.215625,3.331375,3.146,3.0135,3.261,1.31425
112,290,174,20,2.945875,3.002375,3.1575,3.317625,3.1535,3.031625,3.0115,2.085375
113,290,116,20,2.787625,2.981,3.138875,3.3005,3.1635,3.0500000000000003,2.775625,2.599375
114,290,58,20,2.43675,2.920875,3.0805,3.249875,3.160375,3.104625,2.0475,3.120875
115,290,0,20,2.305375,2.908875,3.09425,3.21575,3.16025,3.173875,0.3165,3.613
116,290,-58,20,2.632375,2.959125,3.0865,3.234,3.1433750000000003,2.751125,2.46825,3.433875
117,290,-116,20,2.854375,2.980125,3.063,3.2395,3.143125,2.3075,2.934,3.368875
118,290,-174,20,3.03925,2.999,3.066125,3.248875,3.160125,1.832875,3.224125,3.36925
119,290,-232,20,3.176,3.01525,3.05775,3.24475,3.1637500000000003,1.11225,3.40675,3.38625
120,290,-290,20,3.3035,3.03175,3.087375,3.243375,3.2058750000000003,0.755625,3.532375,3.449125
