Messwert,X,Y,F,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
1,232,0,20,3.53125,3.155125,3.39825,3.45975,3.335875,3.23075,3.67275,3.505
2,232,0,20,2.139625,2.904,2.943125,3.207375,3.115125,3.0772500000000003,0.660625,3.48475
1-2,232,0,20,1.391625,0.25112500000000004,0.4551249999999998,0.25237500000000024,0.22075000000000022,0.15349999999999975,3.012125,0.02024999999999988
