channel names:							
023_-290_174_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	023_-290_174_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	023_-290_174_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	023_-290_174_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	023_-290_174_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	023_-290_174_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	023_-290_174_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	023_-290_174_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:11:48,997937	23.05.2024 15:11:48,997937	23.05.2024 15:11:48,997937	23.05.2024 15:11:48,997937	23.05.2024 15:11:48,997937	23.05.2024 15:11:48,997937	23.05.2024 15:11:48,997937	23.05.2024 15:11:48,997937
dt:							
0,020000							
data:							
2,970314E-1	1,880828E-2	-7,271111E-1	2,338592E-1	-5,370629E-1	-4,325593E-1	-5,190613E-2	-9,544212E-2
2,969718E-1	1,893941E-2	-7,271469E-1	2,339546E-1	-5,373013E-1	-4,325474E-1	-5,192997E-2	-9,539443E-2
2,969718E-1	1,884404E-2	-7,271946E-1	2,339665E-1	-5,373967E-1	-4,325593E-1	-5,187037E-2	-9,535867E-2
2,969122E-1	1,878444E-2	-7,271588E-1	2,338592E-1	-5,375040E-1	-4,326189E-1	-5,191805E-2	-9,534675E-2
2,968287E-1	1,876060E-2	-7,272422E-1	2,335850E-1	-5,375398E-1	-4,325832E-1	-5,191805E-2	-9,556133E-2
2,969122E-1	1,868907E-2	-7,272422E-1	2,335612E-1	-5,372537E-1	-4,327620E-1	-5,203726E-2	-9,548980E-2
2,968406E-1	1,874868E-2	-7,272542E-1	2,333585E-1	-5,372060E-1	-4,329050E-1	-5,202534E-2	-9,554940E-2
2,969002E-1	1,882020E-2	-7,273376E-1	2,334539E-1	-5,372179E-1	-4,326904E-1	-5,190613E-2	-9,546596E-2
2,969479E-1	1,895133E-2	-7,273376E-1	2,338234E-1	-5,371941E-1	-4,326547E-1	-5,185845E-2	-9,538251E-2
2,970433E-1	1,898710E-2	-7,272899E-1	2,339069E-1	-5,373252E-1	-4,326308E-1	-5,185845E-2	-9,538251E-2
2,971625E-1	1,889173E-2	-7,272661E-1	2,339784E-1	-5,371821E-1	-4,325116E-1	-5,179884E-2	-9,538251E-2
2,971029E-1	1,890365E-2	-7,273495E-1	2,336804E-1	-5,373252E-1	-4,325712E-1	-5,183461E-2	-9,532291E-2
2,970075E-1	1,876060E-2	-7,272661E-1	2,335492E-1	-5,373371E-1	-4,328812E-1	-5,179884E-2	-9,534675E-2
2,969837E-1	1,870099E-2	-7,272542E-1	2,337042E-1	-5,372775E-1	-4,327024E-1	-5,189421E-2	-9,531099E-2
2,970314E-1	1,884404E-2	-7,272899E-1	2,339903E-1	-5,372537E-1	-4,326070E-1	-5,188229E-2	-9,540635E-2
2,971148E-1	1,887981E-2	-7,271826E-1	2,341691E-1	-5,372298E-1	-4,325235E-1	-5,182269E-2	-9,527522E-2
2,971267E-1	1,884404E-2	-7,272065E-1	2,339069E-1	-5,372656E-1	-4,326428E-1	-5,169156E-2	-9,525138E-2
2,969956E-1	1,874868E-2	-7,272780E-1	2,335254E-1	-5,372060E-1	-4,329765E-1	-5,169156E-2	-9,538251E-2
2,968883E-1	1,859370E-2	-7,272422E-1	2,332155E-1	-5,372060E-1	-4,330719E-1	-5,201342E-2	-9,545404E-2
2,969599E-1	1,864139E-2	-7,272184E-1	2,334300E-1	-5,371702E-1	-4,330242E-1	-5,216839E-2	-9,537059E-2
2,970195E-1	1,873676E-2	-7,271111E-1	2,338830E-1	-5,373967E-1	-4,327500E-1	-5,192997E-2	-9,535867E-2
2,971506E-1	1,883212E-2	-7,271946E-1	2,342526E-1	-5,375159E-1	-4,324997E-1	-5,166771E-2	-9,521562E-2
2,971267E-1	1,887981E-2	-7,271469E-1	2,342049E-1	-5,374444E-1	-4,324759E-1	-5,176308E-2	-9,520370E-2
2,970314E-1	1,871291E-2	-7,271588E-1	2,339307E-1	-5,374325E-1	-4,327500E-1	-5,185845E-2	-9,535867E-2
2,970314E-1	1,860563E-2	-7,272303E-1	2,336685E-1	-5,373490E-1	-4,329408E-1	-5,222800E-2	-9,540635E-2
2,971029E-1	1,856986E-2	-7,272065E-1	2,337161E-1	-5,374325E-1	-4,328931E-1	-5,212071E-2	-9,538251E-2
2,971387E-1	1,874868E-2	-7,271469E-1	2,339188E-1	-5,373967E-1	-4,327500E-1	-5,187037E-2	-9,531099E-2
2,970910E-1	1,878444E-2	-7,270038E-1	2,342645E-1	-5,373490E-1	-4,325235E-1	-5,169156E-2	-9,512025E-2
2,970671E-1	1,876060E-2	-7,270277E-1	2,341095E-1	-5,373490E-1	-4,325951E-1	-5,185845E-2	-9,526330E-2
2,970195E-1	1,872483E-2	-7,269442E-1	2,337757E-1	-5,372179E-1	-4,327739E-1	-5,196574E-2	-9,537059E-2
