Datei_ID,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
107,232,-174,12,3.06725,3.30345,3.0734250000000003,3.03195,3.387375,3.197275,2.544825,3.1135
108,232,-232,12,3.0812,3.4382,3.088975,3.0471749999999997,3.41575,3.3851,2.355825,3.11565
109,232,-290,12,3.08575,3.54615,3.101575,3.091275,3.463775,3.53025,2.412125,3.142875
110,290,290,12,3.15635,3.523225,3.1284,3.2428500000000002,1.55165,3.56075,3.207325,3.1530500000000004
111,290,232,12,3.1456,3.4438500000000003,3.113425,3.230125,2.018275,3.3889500000000004,3.17435,3.15695
112,290,174,12,3.13335,3.3388999999999998,3.0941,3.1958,2.55435,3.1883500000000002,3.1787,3.162025
113,290,116,12,3.1142250000000002,3.212125,3.0708499999999996,3.188075,2.92525,3.022125,3.2075500000000003,3.174725
114,290,58,12,3.09225,3.0364,3.0396,3.16955,3.291575,2.625325,3.284825,3.1906499999999998
115,290,0,12,3.0505,2.878925,3.02325,3.165975,3.587725,1.4445999999999999,3.289725,3.1785
116,290,-58,12,3.080075,3.1418,3.0624000000000002,3.166925,3.464225,2.8715,2.914825,3.16935
117,290,-116,12,3.105375,3.290975,3.0833,3.1478,3.431625,3.19945,2.72065,3.176825
118,290,-174,12,3.106475,3.401875,3.0902,3.1375,3.4190500000000004,3.35835,2.408725,3.16635
119,290,-232,12,3.118275,3.48245,3.101725,3.14215,3.429625,3.4869,2.08585,3.1854
120,290,-290,12,3.115525,3.552225,3.1195,3.1454,3.45925,3.588325,1.825625,3.21055
