Datei_ID,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
654,-58.0,0.0,18.0,3.104825,1.85665,2.96665,2.0475250000000003,3.29725,2.40165,3.0488,2.897975
655,-58.0,-58.0,18.0,3.02835,2.171125,2.913825,2.11925,3.3203,2.599025,3.0263500000000003,2.88435
656,-58.0,-116.0,18.0,2.9524,2.55065,2.87075,2.187275,3.338925,2.859775,3.012475,2.8996
657,-58.0,-174.0,18.0,2.894175,2.9187,2.865325,2.218625,3.346,3.0768500000000003,3.016075,2.902775
658,-58.0,-232.0,18.0,2.853575,3.2193500000000004,2.885825,2.297575,3.350075,3.270775,3.0301,2.9449750000000003
659,-58.0,-290.0,18.0,2.905625,3.506525,2.9378,2.55985,3.383875,3.482825,3.088625,3.0323
660,0.0,290.0,18.0,3.1403000000000003,3.4883,3.213925,0.7525250000000001,3.356575,3.483225,3.091575,2.9163
661,0.0,232.0,18.0,3.126475,3.2501,3.13205,1.327575,3.2802,3.265375,3.0758,2.8594
662,0.0,174.0,18.0,3.128275,2.984825,3.077825,1.4244,3.27095,3.032575,3.070425,2.8237
663,0.0,116.0,18.0,3.13635,2.71775,3.037525,1.549875,3.274925,2.7933000000000003,3.0707,2.819075
664,0.0,58.0,18.0,3.14475,2.3667,3.0056,1.701975,3.293375,2.5025,3.0703750000000003,2.8057
665,0.0,0.0,18.0,3.147375,2.225025,2.980175,1.8547,3.31145,2.33065,3.062125,2.7568750000000004
666,0.0,-58.0,18.0,3.1301,2.46655,2.94735,1.941125,3.303525,2.578975,3.04945,2.712025
667,0.0,-116.0,18.0,3.12,2.7862,2.931375,1.988,3.296675,2.86395,3.053875,2.676225
668,0.0,-174.0,18.0,3.11325,3.0696,2.9160000000000004,2.0458,3.29765,3.0922,3.072025,2.642625
669,0.0,-232.0,18.0,3.141325,3.315675,2.915325,2.13805,3.3023,3.290875,3.1057,2.613475
670,0.0,-290.0,18.0,3.24095,3.544875,2.938125,2.3622,3.326825,3.4917,3.1742,2.41975
671,58.0,290.0,18.0,3.17875,3.450975,3.155875,2.520375,2.8399,3.41145,3.1029,2.98935
672,58.0,232.0,18.0,3.1709,3.20965,3.07625,2.2347,2.8156,3.1523,3.0631000000000004,2.941
673,58.0,174.0,18.0,3.1701,2.95935,3.03445,2.103525,2.951725,2.87845,3.046675,2.91235
674,58.0,116.0,18.0,3.17525,2.715275,3.01065,2.0952,3.084625,2.591175,3.05035,2.9081
675,58.0,58.0,18.0,3.161875,2.403225,2.9851500000000004,2.117,3.2009000000000003,2.1841,3.06,2.90145
676,58.0,0.0,18.0,3.149075,2.2847500000000003,2.976525,2.207025,3.28385,1.98755,3.06065,2.9013750000000003
677,58.0,-58.0,18.0,3.1289,2.50825,2.979775,2.24715,3.251675,2.3321,2.9848250000000003,2.8679
678,58.0,-116.0,18.0,3.1322750000000004,2.807075,2.971025,2.220225,3.232675,2.678375,2.90625,2.821325
679,58.0,-174.0,18.0,3.13835,3.0684,2.974375,2.28905,3.234175,2.97115,2.86465,2.851175
680,58.0,-232.0,18.0,3.17175,3.316475,2.98,2.414475,3.2688,3.235325,2.81605,2.9123750000000004
681,58.0,-290.0,18.0,3.225775,3.514025,2.999225,2.5973,3.333825,3.462,2.8725500000000004,2.942525
682,116.0,290.0,18.0,3.2081,3.389775,3.098175,2.7655000000000003,2.481525,3.3779,3.11705,3.059975
683,116.0,232.0,18.0,3.194925,3.162075,3.02895,2.5708,2.41195,3.0913500000000003,3.065825,3.0272
684,116.0,174.0,18.0,3.18595,2.903825,2.9871,2.451125,2.608125,2.77055,3.04125,3.002075
685,116.0,116.0,18.0,3.17425,2.63145,2.96255,2.450375,2.844025,2.392025,3.043975,3.0128500000000003
