Messwert,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
1,-58,-116,15,3.211125,3.72025,3.22575,3.3308750000000003,3.494625,3.629,3.31025,3.292625
2,-58,-116,15,2.850625,2.7905,2.94725,2.3645,3.329625,2.966125,3.047875,2.951125
1-2,-58,-116,15,0.36050000000000004,0.9297499999999999,0.2785000000000002,0.9663750000000002,0.16500000000000004,0.6628750000000001,0.262375,0.3414999999999999
