Messwert,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
1,-290,-58,15,3.210875,3.748875,3.26525,3.26225,3.49025,3.619875,3.3125,3.26975
2,-290,-58,15,2.648875,2.536625,2.90625,3.07375,3.324625,3.01825,3.082625,3.163125
1-2,-290,-58,15,0.5620000000000003,1.21225,0.359,0.1884999999999999,0.1656249999999999,0.6016249999999999,0.22987499999999983,0.10662500000000019
