Messwert,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
1,-116,-58,15,3.207375,3.7335000000000003,3.235875,3.3295,3.4915000000000003,3.62875,3.304875,3.2880000000000003
2,-116,-58,15,2.837125,2.2465,2.957125,2.554625,3.3083750000000003,2.759375,3.032375,3.008625
1-2,-116,-58,15,0.37024999999999997,1.487,0.27875000000000005,0.7748749999999998,0.18312499999999998,0.8693750000000002,0.27249999999999996,0.2793750000000004
