Messwert,X,Y,F,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
1,290,290,15,3.198125,3.7110000000000003,3.207625,3.283125,3.489,3.583875,3.295,3.274375
2,290,290,15,3.198125,3.7110000000000003,3.207625,3.283125,3.489,3.583875,3.295,3.274375
1-2,290,290,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
