Messwert,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
1,-174,-174,15,3.2195,3.73125,3.241375,3.310625,3.493875,3.615,3.30675,3.285375
2,-174,-174,15,2.452125,3.0295,2.857125,2.76625,3.352,3.14125,3.00925,3.0535
1-2,-174,-174,15,0.7673749999999999,0.7017500000000001,0.3842500000000002,0.544375,0.1418750000000002,0.47375000000000034,0.2974999999999999,0.23187500000000005
