Messwert,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
1,-58,174,15,3.20925,3.7211250000000002,3.22325,3.365,3.481,3.586,3.307875,3.2923750000000003
2,-58,174,15,2.977,3.0975,2.969625,2.071125,3.254625,3.1595,3.1393750000000002,2.960625
1-2,-58,174,15,0.23225000000000007,0.6236250000000001,0.253625,1.2938750000000003,0.226375,0.4264999999999999,0.16849999999999987,0.33175000000000043
