Messwert,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
1,-232,290,15,3.2651250000000003,3.707125,3.23175,3.274,3.4911250000000003,3.6037500000000002,3.298625,3.274
2,-232,290,15,3.119,3.6615,2.206,3.010875,3.2145,3.427625,3.207375,3.12625
1-2,-232,290,15,0.14612500000000006,0.045624999999999805,1.02575,0.26312500000000005,0.2766250000000001,0.1761250000000003,0.09125000000000005,0.14774999999999983
