Messwert,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
1,0,0,15,3.205375,3.71775,3.201375,3.3545000000000003,3.492625,3.6270000000000002,3.309,3.289375
2,0,0,15,3.037125,2.56725,3.042125,2.083,3.310625,2.556625,3.108625,2.8465000000000003
1-2,0,0,15,0.16825,1.1505,0.1592500000000001,1.2715,0.18199999999999994,1.0703750000000003,0.2003750000000002,0.4428749999999999
