channel names:							
008_116_290_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	008_116_290_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	008_116_290_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	008_116_290_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	008_116_290_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	008_116_290_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	008_116_290_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	008_116_290_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:48:25,660763	23.05.2024 13:48:25,660763	23.05.2024 13:48:25,660763	23.05.2024 13:48:25,660763	23.05.2024 13:48:25,660763	23.05.2024 13:48:25,660763	23.05.2024 13:48:25,660763	23.05.2024 13:48:25,660763
dt:							
0,020000							
data:							
2,907014E-1	1,176301E-2	-7,455886E-1	2,334896E-1	-2,743495E-1	-5,174006E-1	-8,307936E-2	-1,080545E-1
2,908325E-1	1,182262E-2	-7,454813E-1	2,339069E-1	-2,746356E-1	-5,172814E-1	-8,303168E-2	-1,079710E-1
2,908444E-1	1,188222E-2	-7,455647E-1	2,338711E-1	-2,749217E-1	-5,173410E-1	-8,300784E-2	-1,079114E-1
2,907490E-1	1,172725E-2	-7,455766E-1	2,334420E-1	-2,747071E-1	-5,175079E-1	-8,285286E-2	-1,079829E-1
2,908206E-1	1,172725E-2	-7,454813E-1	2,332393E-1	-2,743733E-1	-5,174482E-1	-8,303168E-2	-1,081260E-1
2,908325E-1	1,167957E-2	-7,455528E-1	2,335373E-1	-2,746237E-1	-5,174602E-1	-8,296015E-2	-1,081498E-1
2,908921E-1	1,177493E-2	-7,455647E-1	2,336923E-1	-2,747190E-1	-5,174840E-1	-8,281710E-2	-1,080068E-1
2,909398E-1	1,185838E-2	-7,455647E-1	2,338592E-1	-2,746952E-1	-5,174721E-1	-8,287671E-2	-1,080664E-1
2,907729E-1	1,184646E-2	-7,456362E-1	2,338711E-1	-2,746237E-1	-5,173767E-1	-8,310320E-2	-1,082094E-1
2,908444E-1	1,173917E-2	-7,454813E-1	2,336923E-1	-2,745879E-1	-5,174602E-1	-8,311512E-2	-1,082333E-1
2,909517E-1	1,176301E-2	-7,454813E-1	2,336923E-1	-2,746714E-1	-5,174363E-1	-8,306744E-2	-1,081975E-1
2,909636E-1	1,183454E-2	-7,454932E-1	2,336208E-1	-2,746714E-1	-5,172814E-1	-8,305552E-2	-1,081975E-1
2,907848E-1	1,176301E-2	-7,454813E-1	2,335254E-1	-2,746714E-1	-5,173529E-1	-8,297207E-2	-1,081498E-1
2,906298E-1	1,165572E-2	-7,455289E-1	2,332631E-1	-2,744210E-1	-5,174482E-1	-8,291247E-2	-1,082214E-1
2,907848E-1	1,176301E-2	-7,456005E-1	2,331678E-1	-2,743972E-1	-5,175317E-1	-8,301976E-2	-1,084002E-1
2,908206E-1	1,202527E-2	-7,454097E-1	2,332989E-1	-2,742661E-1	-5,174482E-1	-8,292439E-2	-1,083167E-1
2,907371E-1	1,178685E-2	-7,453859E-1	2,335731E-1	-2,746237E-1	-5,174125E-1	-8,285286E-2	-1,082094E-1
2,907490E-1	1,177493E-2	-7,454932E-1	2,335612E-1	-2,744091E-1	-5,173410E-1	-8,254292E-2	-1,080783E-1
2,907490E-1	1,181070E-2	-7,455289E-1	2,334777E-1	-2,741349E-1	-5,173410E-1	-8,247139E-2	-1,082214E-1
2,907133E-1	1,169149E-2	-7,455409E-1	2,336565E-1	-2,742780E-1	-5,173767E-1	-8,273365E-2	-1,083882E-1
2,905941E-1	1,167957E-2	-7,455886E-1	2,337042E-1	-2,745164E-1	-5,174482E-1	-8,284094E-2	-1,082929E-1
2,906537E-1	1,163188E-2	-7,455170E-1	2,338950E-1	-2,747667E-1	-5,174125E-1	-8,248332E-2	-1,082214E-1
2,907490E-1	1,172725E-2	-7,455289E-1	2,337757E-1	-2,744925E-1	-5,173290E-1	-8,257868E-2	-1,081260E-1
2,905941E-1	1,172725E-2	-7,455289E-1	2,335373E-1	-2,744925E-1	-5,174363E-1	-8,257868E-2	-1,080902E-1
2,905822E-1	1,160804E-2	-7,456005E-1	2,337161E-1	-2,746714E-1	-5,173886E-1	-8,269789E-2	-1,080783E-1
2,906537E-1	1,167957E-2	-7,455051E-1	2,337400E-1	-2,747906E-1	-5,174006E-1	-8,276942E-2	-1,081379E-1
2,907014E-1	1,183454E-2	-7,455170E-1	2,335254E-1	-2,747787E-1	-5,174721E-1	-8,253100E-2	-1,080902E-1
2,905226E-1	1,166764E-2	-7,455886E-1	2,333943E-1	-2,745998E-1	-5,176271E-1	-8,253100E-2	-1,080664E-1
2,904033E-1	1,166764E-2	-7,455528E-1	2,333824E-1	-2,744329E-1	-5,176390E-1	-8,249524E-2	-1,082094E-1
2,905226E-1	1,159612E-2	-7,455528E-1	2,335612E-1	-2,746475E-1	-5,175675E-1	-8,272173E-2	-1,083406E-1
2,904868E-1	1,161996E-2	-7,455647E-1	2,336923E-1	-2,744449E-1	-5,175436E-1	-8,266213E-2	-1,083048E-1
2,905822E-1	1,170341E-2	-7,455647E-1	2,336685E-1	-2,744925E-1	-5,175198E-1	-8,265021E-2	-1,080664E-1
2,906418E-1	1,177493E-2	-7,455886E-1	2,337042E-1	-2,742541E-1	-5,174125E-1	-8,262637E-2	-1,080425E-1
2,905345E-1	1,177493E-2	-7,456362E-1	2,338115E-1	-2,744329E-1	-5,175555E-1	-8,253100E-2	-1,081856E-1
2,904510E-1	1,167957E-2	-7,457078E-1	2,338234E-1	-2,749098E-1	-5,175675E-1	-8,273365E-2	-1,082452E-1
2,904153E-1	1,167957E-2	-7,456601E-1	2,335850E-1	-2,749455E-1	-5,176509E-1	-8,262637E-2	-1,083763E-1
2,904868E-1	1,182262E-2	-7,456839E-1	2,333824E-1	-2,748263E-1	-5,174959E-1	-8,290055E-2	-1,083286E-1
2,906418E-1	1,189414E-2	-7,456243E-1	2,334658E-1	-2,748979E-1	-5,175198E-1	-8,291247E-2	-1,081617E-1
2,905226E-1	1,176301E-2	-7,455886E-1	2,335492E-1	-2,747310E-1	-5,175198E-1	-8,273365E-2	-1,081975E-1
2,904510E-1	1,171533E-2	-7,457316E-1	2,332751E-1	-2,747906E-1	-5,176032E-1	-8,287671E-2	-1,083763E-1
2,904153E-1	1,156036E-2	-7,458031E-1	2,330486E-1	-2,745998E-1	-5,177224E-1	-8,281710E-2	-1,084478E-1
2,903557E-1	1,157228E-2	-7,458747E-1	2,330247E-1	-2,744925E-1	-5,176867E-1	-8,274558E-2	-1,083882E-1
2,905345E-1	1,169149E-2	-7,457554E-1	2,333228E-1	-2,744925E-1	-5,177105E-1	-8,250716E-2	-1,082810E-1
2,906060E-1	1,179878E-2	-7,457197E-1	2,336565E-1	-2,742661E-1	-5,174363E-1	-8,247139E-2	-1,081498E-1
2,905822E-1	1,183454E-2	-7,457435E-1	2,340499E-1	-2,744329E-1	-5,174125E-1	-8,261445E-2	-1,081737E-1
2,905345E-1	1,171533E-2	-7,458151E-1	2,338711E-1	-2,745402E-1	-5,174244E-1	-8,242371E-2	-1,081379E-1
2,904153E-1	1,160804E-2	-7,458627E-1	2,336327E-1	-2,744806E-1	-5,175913E-1	-8,248332E-2	-1,082690E-1
2,903914E-1	1,163188E-2	-7,457316E-1	2,334181E-1	-2,746356E-1	-5,176628E-1	-8,261445E-2	-1,083525E-1
2,903437E-1	1,169149E-2	-7,456243E-1	2,334181E-1	-2,748025E-1	-5,176271E-1	-8,268597E-2	-1,082929E-1
2,903437E-1	1,175109E-2	-7,456958E-1	2,335016E-1	-2,747906E-1	-5,176151E-1	-8,279326E-2	-1,081737E-1
2,904272E-1	1,167957E-2	-7,457078E-1	2,334539E-1	-2,747429E-1	-5,174244E-1	-8,272173E-2	-1,082094E-1
2,904629E-1	1,157228E-2	-7,457197E-1	2,333943E-1	-2,748740E-1	-5,174840E-1	-8,280518E-2	-1,082690E-1
2,904153E-1	1,161996E-2	-7,456839E-1	2,333347E-1	-2,747667E-1	-5,176151E-1	-8,273365E-2	-1,081856E-1
2,903557E-1	1,160804E-2	-7,456124E-1	2,332870E-1	-2,746237E-1	-5,176747E-1	-8,297207E-2	-1,082452E-1
2,904033E-1	1,151267E-2	-7,457078E-1	2,333108E-1	-2,745641E-1	-5,174959E-1	-8,306744E-2	-1,081737E-1
2,904629E-1	1,148883E-2	-7,456720E-1	2,336565E-1	-2,748979E-1	-5,175794E-1	-8,278134E-2	-1,081379E-1
2,903676E-1	1,145307E-2	-7,456958E-1	2,337877E-1	-2,750290E-1	-5,175555E-1	-8,285286E-2	-1,082333E-1
