channel names:							
014_-174_232_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	014_-174_232_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	014_-174_232_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	014_-174_232_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	014_-174_232_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	014_-174_232_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	014_-174_232_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	014_-174_232_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 14:55:20,289386	23.05.2024 14:55:20,289386	23.05.2024 14:55:20,289386	23.05.2024 14:55:20,289386	23.05.2024 14:55:20,289386	23.05.2024 14:55:20,289386	23.05.2024 14:55:20,289386	23.05.2024 14:55:20,289386
dt:							
0,020000							
data:							
3,007746E-1	2,408925E-2	-7,089675E-1	2,358977E-1	-4,027141E-1	-4,286373E-1	-4,962924E-2	-3,917533E-2
3,006434E-1	2,411309E-2	-7,089675E-1	2,359573E-1	-4,023922E-1	-4,286969E-1	-4,981997E-2	-3,918725E-2
3,006553E-1	2,416078E-2	-7,089675E-1	2,360646E-1	-4,025829E-1	-4,285181E-1	-4,980805E-2	-3,917533E-2
3,007388E-1	2,423230E-2	-7,088840E-1	2,363030E-1	-4,024041E-1	-4,284108E-1	-4,965308E-2	-3,910381E-2
3,008461E-1	2,410117E-2	-7,090628E-1	2,364460E-1	-4,025710E-1	-4,283155E-1	-4,961731E-2	-3,899652E-2
3,008222E-1	2,420846E-2	-7,090390E-1	2,363626E-1	-4,027498E-1	-4,283512E-1	-4,971268E-2	-3,904420E-2
3,007388E-1	2,417270E-2	-7,089794E-1	2,360169E-1	-4,027617E-1	-4,285658E-1	-4,980805E-2	-3,911573E-2
3,006077E-1	2,398196E-2	-7,089198E-1	2,357189E-1	-4,029286E-1	-4,287565E-1	-4,980805E-2	-3,918725E-2
3,008103E-1	2,395812E-2	-7,090747E-1	2,358619E-1	-4,028214E-1	-4,286850E-1	-4,966500E-2	-3,912765E-2
3,007626E-1	2,412502E-2	-7,090747E-1	2,360407E-1	-4,028094E-1	-4,285420E-1	-4,977229E-2	-3,912765E-2
3,007030E-1	2,422038E-2	-7,090390E-1	2,362791E-1	-4,029286E-1	-4,284704E-1	-4,961731E-2	-3,910381E-2
3,007865E-1	2,407733E-2	-7,091105E-1	2,362434E-1	-4,027021E-1	-4,284824E-1	-4,959347E-2	-3,904420E-2
3,007149E-1	2,402965E-2	-7,090032E-1	2,360288E-1	-4,024756E-1	-4,285658E-1	-4,985573E-2	-3,910381E-2
3,006911E-1	2,405349E-2	-7,090032E-1	2,358261E-1	-4,025829E-1	-4,287089E-1	-4,997494E-2	-3,917533E-2
3,007388E-1	2,406541E-2	-7,089675E-1	2,359692E-1	-4,025591E-1	-4,287089E-1	-4,983189E-2	-3,921109E-2
3,008461E-1	2,410117E-2	-7,090032E-1	2,362434E-1	-4,025114E-1	-4,285896E-1	-4,964116E-2	-3,923494E-2
3,007746E-1	2,422038E-2	-7,090151E-1	2,363387E-1	-4,027379E-1	-4,284585E-1	-4,962924E-2	-3,912765E-2
3,008103E-1	2,419654E-2	-7,089794E-1	2,363149E-1	-4,025352E-1	-4,284585E-1	-4,949811E-2	-3,911573E-2
3,007865E-1	2,405349E-2	-7,090867E-1	2,361719E-1	-4,025829E-1	-4,284466E-1	-4,953387E-2	-3,925878E-2
3,007865E-1	2,400581E-2	-7,091463E-1	2,361242E-1	-4,024876E-1	-4,285896E-1	-4,971268E-2	-3,918725E-2
3,007626E-1	2,399389E-2	-7,090986E-1	2,361242E-1	-4,024756E-1	-4,286016E-1	-4,966500E-2	-3,916341E-2
3,006434E-1	2,389852E-2	-7,090986E-1	2,359334E-1	-4,027260E-1	-4,285062E-1	-4,956963E-2	-3,913957E-2
3,006196E-1	2,394620E-2	-7,091344E-1	2,358858E-1	-4,025710E-1	-4,285777E-1	-4,962924E-2	-3,905612E-2
3,007746E-1	2,417270E-2	-7,091820E-1	2,361480E-1	-4,028929E-1	-4,285300E-1	-4,945042E-2	-3,921109E-2
3,008580E-1	2,420846E-2	-7,091105E-1	2,362076E-1	-4,027737E-1	-4,284585E-1	-4,972460E-2	-3,919917E-2
3,007984E-1	2,423230E-2	-7,092536E-1	2,363387E-1	-4,026306E-1	-4,284704E-1	-4,958155E-2	-3,906804E-2
3,007626E-1	2,411309E-2	-7,092416E-1	2,363507E-1	-4,029763E-1	-4,285062E-1	-4,937890E-2	-3,894883E-2
3,007626E-1	2,412502E-2	-7,092536E-1	2,361838E-1	-4,025949E-1	-4,285300E-1	-4,954579E-2	-3,900844E-2
3,006315E-1	2,416078E-2	-7,092178E-1	2,361242E-1	-4,024518E-1	-4,285658E-1	-4,979613E-2	-3,907996E-2
3,005957E-1	2,411309E-2	-7,091582E-1	2,362553E-1	-4,024160E-1	-4,285777E-1	-4,985573E-2	-3,906804E-2
3,007030E-1	2,412502E-2	-7,091224E-1	2,363030E-1	-4,026068E-1	-4,285181E-1	-4,984381E-2	-3,915149E-2
3,006911E-1	2,407733E-2	-7,091940E-1	2,361003E-1	-4,028810E-1	-4,284943E-1	-4,984381E-2	-3,911573E-2
3,005242E-1	2,405349E-2	-7,092059E-1	2,360288E-1	-4,027260E-1	-4,285062E-1	-4,971268E-2	-3,902036E-2
3,005481E-1	2,408925E-2	-7,091820E-1	2,361242E-1	-4,029167E-1	-4,285420E-1	-4,993918E-2	-3,906804E-2
