channel names:							
021_232_232_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	021_232_232_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	021_232_232_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	021_232_232_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	021_232_232_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	021_232_232_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	021_232_232_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	021_232_232_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:06:16,111897	23.05.2024 15:06:16,111897	23.05.2024 15:06:16,111897	23.05.2024 15:06:16,111897	23.05.2024 15:06:16,111897	23.05.2024 15:06:16,111897	23.05.2024 15:06:16,111897	23.05.2024 15:06:16,111897
dt:							
0,020000							
data:							
2,970910E-1	1,898710E-2	-7,262647E-1	2,335373E-1	-4,428757E-1	-4,317010E-1	-5,164387E-2	-1,010807E-1
2,970910E-1	1,905862E-2	-7,261694E-1	2,337281E-1	-4,433644E-1	-4,316652E-1	-5,185845E-2	-1,010569E-1
2,969002E-1	1,908246E-2	-7,263363E-1	2,335016E-1	-4,433644E-1	-4,318441E-1	-5,171540E-2	-1,009973E-1
2,970075E-1	1,892749E-2	-7,263959E-1	2,334896E-1	-4,429591E-1	-4,318321E-1	-5,173924E-2	-1,009734E-1
2,971744E-1	1,915399E-2	-7,263482E-1	2,335850E-1	-4,432452E-1	-4,316533E-1	-5,201342E-2	-1,012238E-1
2,970671E-1	1,920167E-2	-7,263839E-1	2,336208E-1	-4,434836E-1	-4,317487E-1	-5,184653E-2	-1,011522E-1
2,969599E-1	1,903478E-2	-7,263959E-1	2,333824E-1	-4,434598E-1	-4,318917E-1	-5,159619E-2	-1,010569E-1
2,971506E-1	1,913015E-2	-7,262886E-1	2,332274E-1	-4,431856E-1	-4,319156E-1	-5,135777E-2	-1,011403E-1
2,971387E-1	1,916591E-2	-7,262170E-1	2,332870E-1	-4,432214E-1	-4,318321E-1	-5,166771E-2	-1,011999E-1
2,970314E-1	1,921359E-2	-7,262766E-1	2,333824E-1	-4,434002E-1	-4,318441E-1	-5,185845E-2	-1,011165E-1
2,970791E-1	1,930896E-2	-7,262051E-1	2,332751E-1	-4,431379E-1	-4,319156E-1	-5,163195E-2	-1,009853E-1
2,971983E-1	1,922551E-2	-7,261932E-1	2,329770E-1	-4,429114E-1	-4,317964E-1	-5,166771E-2	-1,010569E-1
2,972579E-1	1,926128E-2	-7,261694E-1	2,330963E-1	-4,430187E-1	-4,318083E-1	-5,145314E-2	-1,009377E-1
2,972102E-1	1,928512E-2	-7,262290E-1	2,333228E-1	-4,431975E-1	-4,319156E-1	-5,141737E-2	-1,009496E-1
2,972460E-1	1,933280E-2	-7,261217E-1	2,334300E-1	-4,431737E-1	-4,318441E-1	-5,148890E-2	-1,009496E-1
2,972340E-1	1,933280E-2	-7,260502E-1	2,334420E-1	-4,432095E-1	-4,318560E-1	-5,121472E-2	-1,008781E-1
2,971983E-1	1,915399E-2	-7,262528E-1	2,334420E-1	-4,432333E-1	-4,319156E-1	-5,110743E-2	-1,008423E-1
2,970910E-1	1,921359E-2	-7,262170E-1	2,335731E-1	-4,432810E-1	-4,318798E-1	-5,150082E-2	-1,009496E-1
2,971387E-1	1,913015E-2	-7,261932E-1	2,335254E-1	-4,432691E-1	-4,319275E-1	-5,178692E-2	-1,010807E-1
2,970910E-1	1,910630E-2	-7,261813E-1	2,334420E-1	-4,431260E-1	-4,319394E-1	-5,144122E-2	-1,011046E-1
2,970791E-1	1,910630E-2	-7,262766E-1	2,334300E-1	-4,431856E-1	-4,319275E-1	-5,144122E-2	-1,010211E-1
2,970552E-1	1,922551E-2	-7,263124E-1	2,336565E-1	-4,432452E-1	-4,318441E-1	-5,145314E-2	-1,009377E-1
2,970195E-1	1,918975E-2	-7,260978E-1	2,337519E-1	-4,433525E-1	-4,317725E-1	-5,152466E-2	-1,010569E-1
2,970433E-1	1,927320E-2	-7,261932E-1	2,338473E-1	-4,435432E-1	-4,318798E-1	-5,144122E-2	-1,011284E-1
2,970671E-1	1,910630E-2	-7,262170E-1	2,335135E-1	-4,433406E-1	-4,320467E-1	-5,166771E-2	-1,011165E-1
2,969599E-1	1,909438E-2	-7,262647E-1	2,333108E-1	-4,432333E-1	-4,321182E-1	-5,173924E-2	-1,011403E-1
2,970195E-1	1,930896E-2	-7,263124E-1	2,334181E-1	-4,431737E-1	-4,319752E-1	-5,147698E-2	-1,010688E-1
2,971983E-1	1,933280E-2	-7,262170E-1	2,335850E-1	-4,433048E-1	-4,318441E-1	-5,158427E-2	-1,009734E-1
2,972698E-1	1,929704E-2	-7,262051E-1	2,335135E-1	-4,434240E-1	-4,317964E-1	-5,162003E-2	-1,009019E-1
2,972340E-1	1,920167E-2	-7,262528E-1	2,332989E-1	-4,431975E-1	-4,318083E-1	-5,153658E-2	-1,008661E-1
2,970791E-1	1,922551E-2	-7,261932E-1	2,330128E-1	-4,431618E-1	-4,319752E-1	-5,167964E-2	-1,010211E-1
2,969479E-1	1,921359E-2	-7,262647E-1	2,328698E-1	-4,433167E-1	-4,319990E-1	-5,163195E-2	-1,011880E-1
2,968645E-1	1,916591E-2	-7,263243E-1	2,328936E-1	-4,431618E-1	-4,320944E-1	-5,185845E-2	-1,012595E-1
2,970314E-1	1,918975E-2	-7,262886E-1	2,331678E-1	-4,432929E-1	-4,319633E-1	-5,172732E-2	-1,011165E-1
2,971625E-1	1,920167E-2	-7,263124E-1	2,336446E-1	-4,432452E-1	-4,318202E-1	-5,136969E-2	-1,009853E-1
2,971864E-1	1,933280E-2	-7,263363E-1	2,338830E-1	-4,430545E-1	-4,316891E-1	-5,133393E-2	-1,009257E-1
2,970910E-1	1,911823E-2	-7,263243E-1	2,338115E-1	-4,431975E-1	-4,318083E-1	-5,128624E-2	-1,009615E-1
2,970433E-1	1,917783E-2	-7,262886E-1	2,334658E-1	-4,432333E-1	-4,319752E-1	-5,117896E-2	-1,011522E-1
2,970433E-1	1,932088E-2	-7,262766E-1	2,332989E-1	-4,430068E-1	-4,320825E-1	-5,139353E-2	-1,010807E-1
2,971029E-1	1,927320E-2	-7,261813E-1	2,333347E-1	-4,430306E-1	-4,321063E-1	-5,132201E-2	-1,009973E-1
2,971864E-1	1,915399E-2	-7,261336E-1	2,335969E-1	-4,429830E-1	-4,319156E-1	-5,147698E-2	-1,008781E-1
2,974128E-1	1,922551E-2	-7,260502E-1	2,338473E-1	-4,431260E-1	-4,318679E-1	-5,148890E-2	-1,007827E-1
2,972936E-1	1,930896E-2	-7,261455E-1	2,337996E-1	-4,433167E-1	-4,318321E-1	-5,156043E-2	-1,009138E-1
2,972102E-1	1,918975E-2	-7,261813E-1	2,335135E-1	-4,429949E-1	-4,319394E-1	-5,145314E-2	-1,010807E-1
2,972221E-1	1,911823E-2	-7,261455E-1	2,333704E-1	-4,429472E-1	-4,320348E-1	-5,152466E-2	-1,010211E-1
2,972340E-1	1,905862E-2	-7,261455E-1	2,332512E-1	-4,430783E-1	-4,319394E-1	-5,177500E-2	-1,010926E-1
2,971744E-1	1,922551E-2	-7,261932E-1	2,332155E-1	-4,433287E-1	-4,319513E-1	-5,177500E-2	-1,009853E-1
2,971864E-1	1,926128E-2	-7,262170E-1	2,332631E-1	-4,431618E-1	-4,319871E-1	-5,169156E-2	-1,009138E-1
2,972221E-1	1,918975E-2	-7,261694E-1	2,331678E-1	-4,430902E-1	-4,319394E-1	-5,172732E-2	-1,009496E-1
2,971744E-1	1,911823E-2	-7,262170E-1	2,331320E-1	-4,432214E-1	-4,319752E-1	-5,194190E-2	-1,009853E-1
2,972102E-1	1,908246E-2	-7,263363E-1	2,331797E-1	-4,428041E-1	-4,320348E-1	-5,158427E-2	-1,009138E-1
2,971744E-1	1,908246E-2	-7,263720E-1	2,332989E-1	-4,426134E-1	-4,319156E-1	-5,146506E-2	-1,009853E-1
2,971983E-1	1,915399E-2	-7,262528E-1	2,335969E-1	-4,427803E-1	-4,318441E-1	-5,151274E-2	-1,010092E-1
2,972579E-1	1,917783E-2	-7,261217E-1	2,337281E-1	-4,431022E-1	-4,318917E-1	-5,173924E-2	-1,009615E-1
2,971625E-1	1,903478E-2	-7,262647E-1	2,337042E-1	-4,429949E-1	-4,319156E-1	-5,167964E-2	-1,009973E-1
2,972340E-1	1,896325E-2	-7,261694E-1	2,337400E-1	-4,428518E-1	-4,318798E-1	-5,175116E-2	-1,010211E-1
2,971506E-1	1,902286E-2	-7,261217E-1	2,336089E-1	-4,431737E-1	-4,319871E-1	-5,179884E-2	-1,010211E-1
2,970195E-1	1,913015E-2	-7,261217E-1	2,333824E-1	-4,431260E-1	-4,319156E-1	-5,189421E-2	-1,010926E-1
2,971506E-1	1,908246E-2	-7,261217E-1	2,333228E-1	-4,430545E-1	-4,319990E-1	-5,187037E-2	-1,009496E-1
2,971744E-1	1,907054E-2	-7,261813E-1	2,334062E-1	-4,429472E-1	-4,320229E-1	-5,164387E-2	-1,009734E-1
2,970910E-1	1,910630E-2	-7,261098E-1	2,334896E-1	-4,432929E-1	-4,319513E-1	-5,191805E-2	-1,011880E-1
2,970195E-1	1,911823E-2	-7,260621E-1	2,335016E-1	-4,433764E-1	-4,320467E-1	-5,194190E-2	-1,010926E-1
2,971625E-1	1,915399E-2	-7,262170E-1	2,334062E-1	-4,430902E-1	-4,320109E-1	-5,195382E-2	-1,009615E-1
2,972221E-1	1,911823E-2	-7,262170E-1	2,333228E-1	-4,429830E-1	-4,320229E-1	-5,181077E-2	-1,009377E-1
2,970433E-1	1,907054E-2	-7,262528E-1	2,334062E-1	-4,429830E-1	-4,319394E-1	-5,185845E-2	-1,010211E-1
2,970552E-1	1,911823E-2	-7,262528E-1	2,335254E-1	-4,429472E-1	-4,318441E-1	-5,172732E-2	-1,010330E-1
2,969837E-1	1,903478E-2	-7,263005E-1	2,335731E-1	-4,430187E-1	-4,319394E-1	-5,160811E-2	-1,010450E-1
2,970552E-1	1,907054E-2	-7,263482E-1	2,335612E-1	-4,429353E-1	-4,318798E-1	-5,169156E-2	-1,010092E-1
2,970552E-1	1,909438E-2	-7,263005E-1	2,337519E-1	-4,429353E-1	-4,319752E-1	-5,144122E-2	-1,010211E-1
2,971864E-1	1,922551E-2	-7,263243E-1	2,340499E-1	-4,428161E-1	-4,317725E-1	-5,142930E-2	-1,009853E-1
2,971744E-1	1,929704E-2	-7,261336E-1	2,340142E-1	-4,432095E-1	-4,317487E-1	-5,140545E-2	-1,009138E-1
2,971029E-1	1,924936E-2	-7,262290E-1	2,338115E-1	-4,433167E-1	-4,318560E-1	-5,141737E-2	-1,009138E-1
2,970791E-1	1,917783E-2	-7,262051E-1	2,335492E-1	-4,430783E-1	-4,319513E-1	-5,145314E-2	-1,009496E-1
2,971625E-1	1,921359E-2	-7,262170E-1	2,336565E-1	-4,429591E-1	-4,318798E-1	-5,151274E-2	-1,008423E-1
2,970791E-1	1,930896E-2	-7,261098E-1	2,338830E-1	-4,430664E-1	-4,318083E-1	-5,135777E-2	-1,007946E-1
2,971387E-1	1,941625E-2	-7,261574E-1	2,339069E-1	-4,430545E-1	-4,317248E-1	-5,132201E-2	-1,007589E-1
2,971864E-1	1,927320E-2	-7,261574E-1	2,339188E-1	-4,427565E-1	-4,317010E-1	-5,127432E-2	-1,007469E-1
2,971148E-1	1,915399E-2	-7,262647E-1	2,337877E-1	-4,425180E-1	-4,317368E-1	-5,108359E-2	-1,008542E-1
2,970910E-1	1,917783E-2	-7,262528E-1	2,336446E-1	-4,427326E-1	-4,318321E-1	-5,108359E-2	-1,009973E-1
2,970910E-1	1,921359E-2	-7,262290E-1	2,337042E-1	-4,426492E-1	-4,317845E-1	-5,107167E-2	-1,009734E-1
2,970671E-1	1,910630E-2	-7,262409E-1	2,337161E-1	-4,425180E-1	-4,318441E-1	-5,101206E-2	-1,009019E-1
