channel names:							
017_0_232_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	017_0_232_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	017_0_232_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	017_0_232_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	017_0_232_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	017_0_232_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	017_0_232_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	017_0_232_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 14:59:39,429208	23.05.2024 14:59:39,429208	23.05.2024 14:59:39,429208	23.05.2024 14:59:39,429208	23.05.2024 14:59:39,429208	23.05.2024 14:59:39,429208	23.05.2024 14:59:39,429208	23.05.2024 14:59:39,429208
dt:							
0,020000							
data:							
2,984261E-1	2,200309E-2	-7,232010E-1	2,356473E-1	-4,042995E-1	-4,306639E-1	-5,058291E-2	-1,186522E-1
2,984261E-1	2,201501E-2	-7,230938E-1	2,354566E-1	-4,041207E-1	-4,306520E-1	-5,058291E-2	-1,186998E-1
2,985573E-1	2,212230E-2	-7,231534E-1	2,355877E-1	-4,042638E-1	-4,306162E-1	-5,045178E-2	-1,186522E-1
2,986049E-1	2,215806E-2	-7,232368E-1	2,357665E-1	-4,043234E-1	-4,305328E-1	-5,045178E-2	-1,186641E-1
2,987242E-1	2,220575E-2	-7,229865E-1	2,357785E-1	-4,042519E-1	-4,304970E-1	-5,058291E-2	-1,185568E-1
2,986049E-1	2,212230E-2	-7,231891E-1	2,355877E-1	-4,042638E-1	-4,305924E-1	-5,054715E-2	-1,186045E-1
2,984500E-1	2,215806E-2	-7,231414E-1	2,355043E-1	-4,042280E-1	-4,306281E-1	-5,047562E-2	-1,186283E-1
2,984619E-1	2,212230E-2	-7,230699E-1	2,353255E-1	-4,040015E-1	-4,307235E-1	-5,040410E-2	-1,187952E-1
2,983546E-1	2,207462E-2	-7,230938E-1	2,352063E-1	-4,041327E-1	-4,307473E-1	-5,043986E-2	-1,187595E-1
2,984619E-1	2,212230E-2	-7,230580E-1	2,354089E-1	-4,040373E-1	-4,306758E-1	-5,040410E-2	-1,187118E-1
2,985453E-1	2,216998E-2	-7,229865E-1	2,356116E-1	-4,038942E-1	-4,304970E-1	-5,040410E-2	-1,185568E-1
2,985930E-1	2,213422E-2	-7,229865E-1	2,356235E-1	-4,040611E-1	-4,304374E-1	-5,038025E-2	-1,185926E-1
2,984619E-1	2,213422E-2	-7,230461E-1	2,356235E-1	-4,039658E-1	-4,306043E-1	-5,042794E-2	-1,185210E-1
2,985096E-1	2,208654E-2	-7,230461E-1	2,356235E-1	-4,038585E-1	-4,306400E-1	-5,043986E-2	-1,185449E-1
2,985811E-1	2,205077E-2	-7,230461E-1	2,355758E-1	-4,041327E-1	-4,306996E-1	-5,042794E-2	-1,184972E-1
2,986049E-1	2,211038E-2	-7,229746E-1	2,359215E-1	-4,041684E-1	-4,304851E-1	-5,039217E-2	-1,183899E-1
2,986288E-1	2,218190E-2	-7,229626E-1	2,360526E-1	-4,044307E-1	-4,304135E-1	-5,027297E-2	-1,184734E-1
2,985215E-1	2,208654E-2	-7,231176E-1	2,359096E-1	-4,042519E-1	-4,304970E-1	-5,030873E-2	-1,184257E-1
2,984977E-1	2,191964E-2	-7,229746E-1	2,357904E-1	-4,040850E-1	-4,305685E-1	-5,028489E-2	-1,184734E-1
2,984977E-1	2,205077E-2	-7,229388E-1	2,356712E-1	-4,042399E-1	-4,306400E-1	-5,038025E-2	-1,184137E-1
2,984380E-1	2,205077E-2	-7,228911E-1	2,356116E-1	-4,043115E-1	-4,306996E-1	-5,034449E-2	-1,184376E-1
2,984261E-1	2,203885E-2	-7,230222E-1	2,355520E-1	-4,043949E-1	-4,306639E-1	-5,018952E-2	-1,183541E-1
2,985096E-1	2,205077E-2	-7,230699E-1	2,356712E-1	-4,043591E-1	-4,306162E-1	-5,021336E-2	-1,183303E-1
