Messwert,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
1,-58,232,10,3.276875,3.7155,3.2005,3.323875,3.4975,3.589375,3.319,3.288875
2,-58,232,10,3.101375,3.4775,2.98225,2.452375,3.356875,3.4355,3.184,3.0347500000000003
1-2,-58,232,10,0.1755,0.238,0.21824999999999983,0.8715000000000002,0.140625,0.15387499999999976,0.1349999999999998,0.2541249999999997
