Messwert,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
1,116,290,10,3.25825,3.70675,3.189125,3.2723750000000003,3.512,3.6015,3.305875,3.2755
2,116,290,10,3.160375,3.58475,3.1425,2.851125,2.834,3.481125,3.202125,3.091125
1-2,116,290,10,0.09787499999999971,0.12199999999999989,0.04662500000000014,0.4212500000000001,0.6779999999999999,0.12037500000000012,0.10374999999999979,0.18437500000000018
