Messwert,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
1,58,232,10,3.2487500000000002,3.7195,3.1865,3.3236250000000003,3.501625,3.60025,3.3165,3.275875
2,58,232,10,3.13475,3.551375,3.147125,2.637,3.053,3.36875,3.1655,3.05975
1-2,58,232,10,0.11400000000000032,0.16812499999999986,0.03937500000000016,0.6866250000000003,0.4486250000000003,0.23150000000000004,0.1509999999999998,0.2161249999999999
