Messwert,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
1,116,-116,10,3.254,3.71125,3.189125,3.333125,3.499625,3.638,3.30675,3.289
2,116,-116,10,3.10725,3.1645,3.0503750000000003,2.82025,3.3435,2.937875,2.9370000000000003,3.056625
1-2,116,-116,10,0.14674999999999994,0.5467500000000003,0.13874999999999993,0.5128749999999997,0.15612499999999985,0.7001249999999999,0.3697499999999998,0.23237500000000022
