Messwert,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
1,174,-290,10,3.23725,3.7065,3.202125,3.3185000000000002,3.48725,3.63275,3.3255,3.28575
2,174,-290,10,3.132875,3.570625,3.095375,3.04975,3.4485,3.515375,2.68975,3.105875
1-2,174,-290,10,0.1043750000000001,0.13587499999999997,0.1067499999999999,0.26875000000000027,0.03874999999999984,0.11737500000000001,0.6357499999999998,0.179875
