Messwert,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
1,-232,174,10,3.28375,3.71,3.266125,3.262,3.505875,3.592375,3.307125,3.2815
2,-232,174,10,3.087625,3.27125,2.468375,2.94775,3.300125,3.27625,3.186875,3.1255
1-2,-232,174,10,0.19612499999999988,0.43874999999999975,0.7977500000000002,0.3142499999999999,0.2057500000000001,0.316125,0.12024999999999997,0.1559999999999997
