timestamp,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
2026-04-10T12:38:55,0.0,280.0,14.841242495040177,2.4477092161016922,2.7576377118644078,2.4534735169491513,2.4976318855932185,2.5029899364406782,2.3698442796610166,2.546656779661015,2.3844163135593237
2026-04-10T12:39:08,-40.0,240.0,14.937812307067531,1.8768554852320645,2.7944435654008446,2.4417821729957776,2.528771624472573,2.5815727848101244,2.5417932489451496,2.503787447257388,2.3691529535864984
2026-04-10T12:39:17,0.0,240.0,15.018746094796734,2.2416065400843883,2.8134251054852317,2.421399789029531,2.501832278481013,2.4872621308016867,2.4015079113924065,2.5514762658227834,2.4616977848101262
2026-04-10T12:39:30,40.0,240.0,14.775708501496075,1.5735174788135595,2.444111758474578,2.421583156779658,2.483097457627123,2.4637378177966114,2.533416843220344,2.53704872881356,2.4933426906779648
2026-04-10T12:39:49,-80.0,200.0,14.94043526536159,1.7638909574468067,2.740802659574467,2.3762680851063807,2.523570212765953,2.410157978723403,2.725928723404252,2.497423936170213,2.4444718085106376
2026-04-10T12:40:03,-40.0,200.0,14.92303410242814,1.4834388297872336,2.798915957446808,2.408349468085107,2.5315813829787266,2.5872776595744673,2.6765202127659564,2.5149537234042545,2.595407978723406
2026-04-10T12:40:15,0.0,200.0,15.169990663794385,3.175261603375529,2.783598101265819,2.424477320675106,2.518852320675105,2.4836503164556984,2.4562188818565414,2.5644393459915604,2.6680701476793263
2026-04-10T12:40:24,40.0,200.0,14.849660350537524,2.080737765957445,2.112056914893619,2.416195744680847,2.473452127659572,2.4636388297872367,2.558515957446806,2.5384026595744724,2.7177244680851045
2026-04-10T12:40:33,80.0,200.0,14.993903179736778,2.226598516949155,2.774477754237286,2.3842108050847415,2.482230402542369,2.5728056144067817,2.5960969279661024,2.5037176906779686,2.7060858050847445
2026-04-10T12:40:46,-120.0,160.0,14.935750018208637,1.904546080508475,2.5355042372881353,2.335868644067796,2.531569385593223,2.333877648305084,2.7859115466101647,2.550575741525425,3.1129475635593207
2026-04-10T12:40:58,-80.0,160.0,14.92845377480254,1.5546835106382992,2.607002127659575,2.350118085106381,2.5407265957446796,2.528160106382977,2.7850351063829835,2.4633840425531925,3.1026872340425578
2026-04-10T12:41:11,-40.0,160.0,14.889073216546834,1.9058278601694931,2.741209745762712,2.3771684322033892,2.544051377118641,2.5975783898305114,2.726166313559321,2.534961864406784,3.047686440677966
2026-04-10T12:41:26,0.0,160.0,14.942695982104057,3.011526371308015,2.7531714135021117,2.4103997890295377,2.5226867088607605,2.4504636075949384,2.5140121308016883,2.5687088607594974,3.144325421940926
2026-04-10T12:41:52,40.0,160.0,15.00860665056678,2.272990995762711,2.383696504237287,2.4486822033898314,2.4783050847457657,2.4573691737288152,2.266315148305084,2.5403850635593206,2.8015323093220323
2026-04-10T12:42:00,80.0,160.0,14.939608280962602,2.3085095338983055,2.809316737288134,2.350714512711865,2.4594687500000045,2.5719592161016926,2.2277108050847416,2.5017955508474565,2.793990466101693
2026-04-10T12:42:09,120.0,160.0,14.819095738952058,2.5355961134453797,2.810446428571427,2.5898918067226933,2.461584033613446,2.622912815126052,2.288247899159666,2.487809348739493,2.778422794117646
2026-04-10T12:42:29,-160.0,120.0,14.887621793293727,2.1232952127659592,2.5886494680851033,2.2714122340425527,2.5218819148936182,2.3345069148936197,2.470402127659577,2.568068085106381,2.8842090425531937
2026-04-10T12:42:37,-120.0,120.0,14.828728351068667,2.3157838983050842,2.668039724576273,2.277766949152542,2.5365058262711826,2.4150625,2.523824682203391,2.451144067796607,2.404173199152543
2026-04-10T12:42:51,-80.0,120.0,14.88375135245506,1.0722526483050858,2.720453389830509,2.288628177966103,2.542292372881355,2.5850895127118596,2.540519067796611,2.5058352754237307,2.3650227754237316
2026-04-10T12:43:00,-40.0,120.0,15.025297988590598,2.0492595338983057,2.788238347457628,2.3113543432203376,2.5551101694915253,2.580990995762715,2.4923400423728816,2.561243644067794,2.4267722457627108
2026-04-10T12:43:12,0.0,120.0,14.947201801800528,2.9311631355932195,2.8521011652542305,2.3436652542372887,2.536801377118644,2.434390889830507,2.2311594279661016,2.5714216101694953,2.455126059322036
2026-04-10T12:43:22,40.0,120.0,15.31742488982361,2.2414025423728785,2.546733580508476,2.313494703389835,2.471207097457626,2.459336864406782,2.1319210805084747,2.536794491525426,2.4888516949152497
2026-04-10T12:43:33,80.0,120.0,14.941550755702371,2.4677183544303816,2.299566983122364,2.406520042194089,2.4430100210970465,2.5525574894514746,2.0936793248945142,2.5025010548523188,2.4801060126582306
2026-04-10T12:43:41,120.0,120.0,14.88170453290738,2.5472840425531946,2.9220808510638316,2.5368335106382958,2.4466037234042535,2.61682925531915,2.199299999999999,2.4828654255319154,2.4411622340425536
2026-04-10T12:43:56,160.0,120.0,15.024507642920092,2.5496567796610172,2.8264539194915277,2.4893564618644066,2.4407823093220333,2.6222457627118665,2.237936970338983,2.479119703389832,2.4274036016949134
2026-04-10T12:44:28,-200.0,80.0,15.131686270350702,2.627651063829786,2.68846063829787,2.3003946808510616,2.5270574468085143,2.323704787234046,2.4139590425531883,2.5804308510638294,2.906248936170213
2026-04-10T12:44:36,-160.0,80.0,14.887793839823697,2.688523206751053,2.714200949367088,2.317036392405064,2.53122151898734,2.338218881856541,2.4897051687763723,2.398197257383963,2.552532172995779
2026-04-10T12:44:43,-120.0,80.0,14.92411341972881,1.5579219409282696,2.738373417721517,2.3290928270042204,2.556529535864979,2.5020100210970493,2.5710005274261585,2.4628939873417717,2.193977320675106
2026-04-10T12:44:56,-80.0,80.0,14.969866238148375,1.7775037234042532,2.7806319148936165,2.3491872340425526,2.5589446808510643,2.6246143617021302,2.579506382978725,2.5390484042553196,1.9162968085106362
2026-04-10T12:45:05,-40.0,80.0,14.9621225113545,2.603825211864405,2.8494136652542355,2.3825217161016967,2.575999470338982,2.5640741525423727,2.5708988347457624,2.5660683262711834,2.2073029661016945
2026-04-10T12:45:20,0.0,80.0,14.983871564647885,2.339473936170213,2.8964425531914917,2.411644148936169,2.5699978723404238,2.425300531914892,2.249952659574471,2.5462989361702104,2.17205265957447
2026-04-10T12:45:36,40.0,80.0,14.920458280425551,2.467845464135022,2.6492093881856524,2.3515532700421975,2.487147151898735,2.48886286919831,2.0346186708860787,2.5056803797468357,2.1598723628691974
2026-04-10T12:45:50,80.0,80.0,14.989863192957076,2.4297176906779683,2.3333945974576262,2.2562960805084753,2.4475487288135627,2.575546080508475,1.9303681144067788,2.4776716101694958,2.1538824152542366
2026-04-10T12:46:00,120.0,80.0,15.007044709585697,2.4991281914893593,2.981254255319146,2.0628287234042557,2.442192553191491,2.6206936170212733,2.042100531914893,2.4673579787234035,2.1387042553191478
2026-04-10T12:46:12,160.0,80.0,14.985975691875213,2.4338633966244725,2.9559572784810157,2.3552637130801664,2.4281460970464126,2.61967405063291,2.180490506329115,2.463658755274263,2.1264509493670882
2026-04-10T12:46:23,200.0,80.0,15.00315001550377,2.42139187763713,2.8897109704641344,2.2064404008438814,2.389801160337555,2.62240664556962,2.199420358649791,2.462603375527427,2.1147579113924024
2026-04-10T12:46:45,-240.0,40.0,14.726813324704285,2.679830508474579,2.701945974576272,2.30085593220339,2.553775423728812,2.351156779661018,2.291163135593223,2.6084300847457644,2.0617182203389826
2026-04-10T12:46:56,-200.0,40.0,14.955250266380474,2.6745484042553187,2.7302712765957433,2.2954058510638315,2.5682478723404247,2.344772340425531,2.3364749999999987,2.4395824468085108,1.045091489361702
2026-04-10T12:47:05,-160.0,40.0,14.941963994974023,2.3269862288135594,2.764974576271186,2.299836864406779,2.572417902542374,2.3862992584745726,2.401873940677966,2.365670550847453,1.2683776483050846
2026-04-10T12:47:26,-120.0,40.0,15.079336608186155,1.7341191737288122,2.7827203389830526,2.305793961864406,2.5788501059322027,2.498148305084743,2.427607521186442,2.5276483050847434,1.2424152542372893
2026-04-10T12:47:34,-80.0,40.0,14.84505043929543,1.9814324468085114,2.8051808510638288,2.313800531914894,2.5864398936170176,2.589123936170213,2.4871207446808508,2.5652617021276627,3.6555377659574435
2026-04-10T12:47:42,-40.0,40.0,15.16902992183701,2.8566967299578088,2.843411392405063,2.315821202531647,2.5948855485232043,2.5348786919831245,2.528960443037974,2.5730696202531647,1.8608127637130805
2026-04-10T12:47:52,0.0,40.0,15.29378217810184,2.873420021186441,2.776716631355931,2.350510593220338,2.5910799788135592,2.3994284957627108,2.135485169491525,2.5434099576271185,1.617489406779662
2026-04-10T12:48:00,40.0,40.0,14.836292797584136,2.9835836864406744,2.7243930084745682,2.353775423728812,2.532171610169488,2.51111811440678,1.9031959745762717,2.497655720338985,1.6684353813559314
2026-04-10T12:48:08,80.0,40.0,15.087871378516928,2.8654008438818575,2.5321408227848075,2.2719166666666664,2.4681592827004244,2.591576476793245,1.7957420886075957,2.4735068565400815,1.568497890295361
2026-04-10T12:48:20,120.0,40.0,14.88718070229981,2.901245233050851,2.852531249999998,2.1156133474576304,2.4549915254237282,2.6150757415254247,2.036504766949152,2.466543432203391,1.5983273305084758
2026-04-10T12:48:29,160.0,40.0,15.016335610175334,2.890847872340424,3.0509085106382985,1.9975776595744674,2.4543462765957424,2.6052010638297878,2.1861595744680837,2.4627202127659538,1.6164686170212788
2026-04-10T12:48:39,200.0,40.0,14.965940344680096,2.865050317796608,3.002684851694915,1.85353813559322,2.4398463983050864,2.596460275423726,2.145020127118645,2.462213983050845,1.6473765889830505
2026-04-10T12:48:54,240.0,40.0,15.061711033975206,2.849974576271185,2.9187770127118635,2.3264586864406787,2.364451271186439,2.597048728813559,2.2183087923728806,2.4638967161016962,1.640389300847454
2026-04-10T12:49:38,-280.0,0.0,15.017074444468062,2.5006636652542347,2.7463220338983043,2.4633114406779626,2.5595656779661016,2.5470640889830527,2.552225105932207,2.450834216101691,2.5046006355932224
2026-04-10T12:49:52,-240.0,0.0,14.830308068871936,2.4818866525423697,2.7760413135593196,2.461800847457625,2.5702658898305115,2.542938029661019,2.5692494703389817,2.4062002118644052,3.194334745762714
2026-04-10T12:50:00,-200.0,0.0,14.72803776808118,2.410469680851064,2.795079255319149,2.4627643617021304,2.5708989361702113,2.634042021276596,2.59479574468085,2.2824686170212805,3.1528276595744695
2026-04-10T12:50:07,-160.0,0.0,15.053836440447146,2.0411175531914876,2.8252074468085118,2.4547111702127653,2.5780824468085117,2.608921276595744,2.6314015957446815,2.40209946808511,2.810506914893621
2026-04-10T12:50:15,-120.0,0.0,14.983177733371353,1.9149597457627137,2.8357748940677934,2.453190677966098,2.5827171610169515,2.372068326271187,2.6515439618644083,2.553757415254233,2.902181673728815
2026-04-10T12:50:27,-80.0,0.0,14.945519105856038,2.3126439873417706,2.84821729957806,2.4488111814346,2.58684599156118,2.5282215189873374,2.6908929324894504,2.5924525316455678,2.9655321729957786
2026-04-10T12:50:35,-40.0,0.0,15.115097697622453,2.447911702127658,2.814775531914895,2.4567239361702153,2.589915425531916,2.511749468085107,2.7716984042553134,2.6117468085106372,3.0418978723404226
2026-04-10T12:50:43,0.0,0.0,15.035251732278985,2.853717553191489,2.7210000000000005,2.503076063829786,2.595336170212769,2.3682579787234044,2.3345744680851057,2.578651595744681,3.0298670212765932
2026-04-10T12:50:54,40.0,0.0,15.324290799985755,2.895112765957444,2.81483563829787,2.562270744680853,2.5588925531914857,2.519698404255322,2.055467021276593,2.5343319148936154,3.00584255319149
2026-04-10T12:51:05,80.0,0.0,14.9293477363127,2.770513185654006,2.7047879746835446,2.541439345991566,2.516771624472573,2.5785806962025295,2.0958660337552755,2.5140654008438776,3.0166988396624497
2026-04-10T12:51:12,120.0,0.0,15.074051579647396,2.748355319148932,2.6308212765957504,2.4987898936170234,2.5012324468085114,2.5857340425531867,2.1216654255319134,2.506119680851064,3.007768617021279
2026-04-10T12:51:23,160.0,0.0,14.892366947103257,2.742993617021278,3.0842425531914888,2.4272250000000035,2.5077319148936215,2.542236170212762,2.6858595744680906,2.5090377659574474,2.995307978723409
2026-04-10T12:51:37,200.0,0.0,14.785650320917169,2.7221091101694883,3.060182203389827,2.2779375000000006,2.4416938559322023,2.5075614406779665,2.6418199152542385,2.508750529661017,2.9986631355932207
2026-04-10T12:51:47,240.0,0.0,14.937835999853556,2.71734904661017,2.9345640889830515,2.4286032838983056,2.407133474576273,2.4917182203389854,2.583586334745762,2.5132568855932225,2.950102224576272
2026-04-10T12:51:56,280.0,0.0,15.138448890153585,2.711955319148933,2.86608085106383,2.5556324468085094,2.5987207446808536,2.4762021276595743,2.54265159574468,2.5214845744680847,2.939994148936167
2026-04-10T12:52:27,-240.0,-40.0,14.800614497286501,2.6715154255319153,2.8794765957446815,2.5098138297872374,2.5917914893617042,2.6480936170212743,2.599081382978726,2.6049287234042566,2.75423563829787
2026-04-10T12:52:40,-200.0,-40.0,14.914317584644213,2.635924050632916,2.8903243670886103,2.500648734177216,2.599308016877639,2.6729404008438786,2.6514324894514743,2.1074298523206747,2.938095464135023
2026-04-10T12:52:52,-160.0,-40.0,14.787285334984276,2.511726793248946,2.899844936708866,2.4987357594936643,2.609500527426159,2.6506086497890315,2.699402953586496,2.371285337552741,2.85768037974683
2026-04-10T12:53:01,-120.0,-40.0,15.180790669234653,2.4426546610169493,2.8992452330508494,2.501229343220337,2.616769067796611,2.3871806144067786,2.7333686440677964,2.4064110169491535,2.9280270127118646
2026-04-10T12:53:10,-80.0,-40.0,15.133770216532316,2.4328691737288137,2.8667907838983027,2.5130858050847475,2.613425317796611,2.4830211864406766,2.7597722457627114,2.4899120762711853,2.955420550847463
2026-04-10T12:53:19,-40.0,-40.0,15.030047674131016,2.499297669491522,2.8090169491525434,2.530109110169493,2.6100704449152548,2.554386652542373,2.82396451271186,2.592587394067795,3.007120762711867
2026-04-10T12:53:36,0.0,-40.0,15.154169762386703,2.705594680851062,2.7640819148936195,2.563131382978725,2.615515957446811,2.457820744680854,2.5694569148936175,2.581828191489357,3.0664271276595723
2026-04-10T12:53:46,40.0,-40.0,14.937953587687366,2.937894067796608,2.8695937500000013,2.5761048728813583,2.5843252118644044,2.5974761652542373,1.9619337923728781,2.520108050847458,3.05984269067796
2026-04-10T12:53:54,80.0,-40.0,15.229324835358499,2.8790370762711848,2.808619703389833,2.5717319915254246,2.454990466101695,2.5924332627118676,1.11710593220339,2.501210275423725,3.0237605932203406
2026-04-10T12:54:14,120.0,-40.0,15.155753416714608,2.8481228723404293,2.768272872340423,2.534215425531914,2.3707771276595775,2.56598457446809,2.253265957446808,2.4923005319148954,3.0340005319148897
2026-04-10T12:54:23,160.0,-40.0,15.06306904987264,2.79592234042553,2.8111393617021316,2.305263829787234,2.2159909574468095,2.4823957446808547,2.4896888297872355,2.4826734042553142,3.0085771276595747
2026-04-10T12:54:34,200.0,-40.0,14.996050703554355,2.7667431144067813,2.8249920550847505,2.489654661016949,2.071993644067798,2.470800847457627,2.5109692796610212,2.479418961864408,3.0004809322033905
