date,time,X,Y,F_mean,F_std,Sensor R1_mean,Sensor R2_mean,Sensor R3_mean,Sensor R4_mean,Sensor R5_mean,Sensor R6_mean,Sensor R7_mean,Sensor R8_mean,Sensor R1_std,Sensor R2_std,Sensor R3_std,Sensor R4_std,Sensor R5_std,Sensor R6_std,Sensor R7_std,Sensor R8_std
2026-04-10,09:57:17.184,0.0,280.0,9.841907815261159,0.10167838202316695,2.531840042372881,2.638453919491526,2.4417664194915254,2.5718797669491527,2.437365466101695,2.346800847457627,2.45853125,2.549296080508475,0.0036119866356109265,0.006326119767386238,0.002739349173811354,0.004649646998712568,0.004212859801426835,0.005056493279122965,0.0014755746600326853,0.0038971221995767248
2026-04-10,09:57:37.246,-40.0,240.0,9.947928153653177,0.1547149231288677,2.1274148936170207,2.6958946808510644,2.426770212765957,2.5749265957446803,2.5119776595744683,2.4326058510638298,2.427136170212766,2.536599468085106,0.024065429241198925,0.006482059808905603,0.0031767717384374805,0.005517952818270797,0.005197678067018554,0.004293166925989944,0.0023939074291914617,0.0031680355403864596
2026-04-10,09:57:55.459,0.0,240.0,10.077481210307633,0.11623867582712023,2.451064618644067,2.6566366525423732,2.4364152542372883,2.575552436440678,2.4490121822033903,2.3436440677966104,2.457094809322034,2.658603813559322,0.0037839470893376195,0.0089042396599399,0.0030841774888648896,0.004036261996820489,0.00399361214048966,0.005066693103383925,0.001810932860105923,0.003300187185110181
2026-04-10,09:58:05.885,40.0,240.0,9.91531230416968,0.1270496358239531,2.1511302742616034,2.424878691983122,2.417364978902954,2.5593570675105477,2.414338080168776,2.360815400843882,2.4427426160337555,2.6748960970464135,0.017772827290661507,0.012598720908975507,0.0027258901498885602,0.0045449809044266105,0.0038121547787129603,0.005592711609904489,0.0014856285206992482,0.00470487986850673
2026-04-10,09:58:19.899,-80.0,200.0,9.74897712416492,0.1143252887088888,1.8010418432203386,2.7065905720338983,2.403920021186441,2.5822192796610173,2.4247643008474578,2.4885042372881356,2.3961996822033895,2.6513972457627117,0.01728001977316616,0.003656053951878768,0.002820884226151029,0.0045143349959532245,0.00434819201159058,0.004720959178211383,0.001929277221696744,0.004155196720620843
2026-04-10,09:58:29.531,-40.0,200.0,9.757517668627628,0.09942329533862275,1.4053048523206755,2.7762289029535863,2.4231545358649798,2.5806983122362874,2.5276555907173,2.436179852320676,2.4217072784810125,2.667069620253164,0.0694023254443819,0.008982347788427568,0.0028413431697363245,0.0041820823225156055,0.005425231417918797,0.00525715532880532,0.0014254809975397897,0.005343220502751529
2026-04-10,09:58:47.481,0.0,200.0,10.067891028621363,0.16753309950702022,3.050808262711865,2.76866313559322,2.4351949152542374,2.5577129237288143,2.4232600635593227,2.3319920550847453,2.4455063559322032,2.7294152542372885,0.0058269806001078625,0.011837485441019988,0.0028907793933977037,0.006439804576012666,0.004425431715053846,0.0063427547677311295,0.00209606720734787,0.003593775565713514
2026-04-10,09:58:57.241,40.0,200.0,9.864344790865953,0.16076520323626134,2.311721927966102,2.180114936440678,2.3632123940677965,2.52069968220339,2.4057611228813554,2.349774894067796,2.4200365466101688,2.750499470338984,0.010224341002297022,0.021313041257508665,0.0028069700794475655,0.005106303474572268,0.004201911478587221,0.0061932467739615445,0.0018790709033168025,0.002884231170352927
2026-04-10,09:59:06.328,80.0,200.0,9.841475660461755,0.16657875871392022,2.7010611814346,2.771162447257384,2.498141877637131,2.518335443037975,2.4797716244725745,2.40601635021097,2.3923971518987344,2.707863396624473,0.007242945533180352,0.016028545643492775,0.008904430163562961,0.004440336912028735,0.004692031263982123,0.0049449430836947875,0.0025408912789993024,0.0035537609131030836
2026-04-10,09:59:19.880,-120.0,160.0,9.756047244531363,0.10719405327532018,2.2192095744680853,2.4974015957446807,2.3819968085106384,2.5598159574468085,2.3247244680851065,2.5119063829787236,2.396630319148936,2.561710638297872,0.010376315032260212,0.003168572419403272,0.003023839750329433,0.004034843011301521,0.004637470219442434,0.0049960369083402135,0.0022842193145290336,0.008386708621829516
