channel names:							
010_232_290_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	010_232_290_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	010_232_290_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	010_232_290_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	010_232_290_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	010_232_290_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	010_232_290_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	010_232_290_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016	23.05.2024 13:50:15,001016
dt:							
0,020000							
data:							
2,905583E-1	1,169149E-2	-7,395566E-1	2,323810E-1	-3,812445E-1	-5,170787E-1	-8,321049E-2	-9,359437E-2
2,905106E-1	1,175109E-2	-7,395566E-1	2,322737E-1	-3,811849E-1	-5,171145E-1	-8,343699E-2	-9,354669E-2
2,905583E-1	1,167957E-2	-7,394612E-1	2,326194E-1	-3,807676E-1	-5,169833E-1	-8,322241E-2	-9,349900E-2
2,905941E-1	1,173917E-2	-7,395566E-1	2,327982E-1	-3,809703E-1	-5,167926E-1	-8,337739E-2	-9,341556E-2
2,906537E-1	1,183454E-2	-7,395089E-1	2,326552E-1	-3,809345E-1	-5,168641E-1	-8,350852E-2	-9,340364E-2
2,906537E-1	1,166764E-2	-7,394850E-1	2,324644E-1	-3,807676E-1	-5,169833E-1	-8,342507E-2	-9,355861E-2
2,906060E-1	1,159612E-2	-7,396162E-1	2,323691E-1	-3,809584E-1	-5,171383E-1	-8,338931E-2	-9,355861E-2
2,905464E-1	1,166764E-2	-7,394970E-1	2,322856E-1	-3,808511E-1	-5,171264E-1	-8,340123E-2	-9,354669E-2
2,906537E-1	1,165572E-2	-7,394135E-1	2,323452E-1	-3,808153E-1	-5,170549E-1	-8,332970E-2	-9,352285E-2
2,906179E-1	1,178685E-2	-7,394254E-1	2,326194E-1	-3,808630E-1	-5,168403E-1	-8,319857E-2	-9,349900E-2
2,905941E-1	1,172725E-2	-7,393777E-1	2,324287E-1	-3,809703E-1	-5,168284E-1	-8,349659E-2	-9,349900E-2
2,904868E-1	1,164380E-2	-7,394612E-1	2,321783E-1	-3,807915E-1	-5,170072E-1	-8,366349E-2	-9,352285E-2
2,905464E-1	1,158420E-2	-7,395208E-1	2,322141E-1	-3,809464E-1	-5,169714E-1	-8,383038E-2	-9,348708E-2
