Messwert,X,Y,F,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
1,58,-232,20,3.717,2.938875,3.744125,3.653375,3.233375,3.800125,3.800125,3.499375
2,58,-232,20,2.631875,2.68775,3.361875,3.398875,2.8285,3.7756250000000002,3.799875,3.208125
1-2,58,-232,20,1.0851250000000001,0.25112500000000004,0.38225,0.25450000000000017,0.4048750000000001,0.024499999999999744,0.00024999999999986144,0.29125000000000023
