Datei_ID,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8,Class
111,290,232,20,3.331375,3.103,3.036875,3.215625,1.31425,3.261,3.0135,3.146,3
112,290,174,20,3.317625,2.945875,3.002375,3.1575,2.085375,3.0115,3.031625,3.1535,3
113,290,116,20,3.3005,2.787625,2.981,3.138875,2.599375,2.775625,3.0500000000000003,3.1635,3
114,290,58,20,3.249875,2.43675,2.920875,3.0805,3.120875,2.0475,3.104625,3.160375,6
115,290,0,20,3.21575,2.305375,2.908875,3.09425,3.613,0.3165,3.173875,3.16025,6
116,290,-58,20,3.234,2.632375,2.959125,3.0865,3.433875,2.46825,2.751125,3.1433750000000003,6
117,290,-116,20,3.2395,2.854375,2.980125,3.063,3.368875,2.934,2.3075,3.143125,9
118,290,-174,20,3.248875,3.03925,2.999,3.066125,3.36925,3.224125,1.832875,3.160125,9
119,290,-232,20,3.24475,3.176,3.01525,3.05775,3.38625,3.40675,1.11225,3.1637500000000003,9
120,290,-290,20,3.243375,3.3035,3.03175,3.087375,3.449125,3.532375,0.755625,3.2058750000000003,9
