channel names:							
002_-232_290_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	002_-232_290_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	002_-232_290_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	002_-232_290_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	002_-232_290_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	002_-232_290_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	002_-232_290_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	002_-232_290_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 13:37:51,238476	23.05.2024 13:37:51,238476	23.05.2024 13:37:51,238476	23.05.2024 13:37:51,238476	23.05.2024 13:37:51,238476	23.05.2024 13:37:51,238476	23.05.2024 13:37:51,238476	23.05.2024 13:37:51,238476
dt:							
0,020000							
data:							
2,889728E-1	8,699334E-3	-7,560194E-1	3,216330E-1	-2,492440E-1	-5,146468E-1	-7,999184E-2	-1,169356E-1
2,890563E-1	8,830464E-3	-7,560074E-1	3,217760E-1	-2,491367E-1	-5,145872E-1	-8,011105E-2	-1,168998E-1
2,890086E-1	8,794701E-3	-7,560313E-1	3,219668E-1	-2,492679E-1	-5,144680E-1	-7,996800E-2	-1,168402E-1
2,890086E-1	8,878148E-3	-7,560194E-1	3,218118E-1	-2,494348E-1	-5,145276E-1	-7,993224E-2	-1,167925E-1
2,890444E-1	8,782780E-3	-7,559240E-1	3,217403E-1	-2,492440E-1	-5,145634E-1	-7,981303E-2	-1,169117E-1
2,889371E-1	8,747017E-3	-7,559121E-1	3,216092E-1	-2,493752E-1	-5,145991E-1	-7,988455E-2	-1,169475E-1
2,889490E-1	8,890069E-3	-7,557690E-1	3,214423E-1	-2,492917E-1	-5,147541E-1	-8,024218E-2	-1,169117E-1
2,891636E-1	8,985436E-3	-7,557452E-1	3,215376E-1	-2,490414E-1	-5,147184E-1	-8,003953E-2	-1,168879E-1
2,892112E-1	9,092724E-3	-7,558406E-1	3,218833E-1	-2,491725E-1	-5,146111E-1	-7,982495E-2	-1,168044E-1
2,891636E-1	8,985436E-3	-7,558167E-1	3,220860E-1	-2,492559E-1	-5,144561E-1	-7,999184E-2	-1,167925E-1
2,891516E-1	9,068882E-3	-7,558286E-1	3,220860E-1	-2,490414E-1	-5,144799E-1	-7,980111E-2	-1,168402E-1
2,890920E-1	8,949673E-3	-7,558525E-1	3,218595E-1	-2,490414E-1	-5,145991E-1	-7,996800E-2	-1,169475E-1
2,890444E-1	8,747017E-3	-7,558644E-1	3,214542E-1	-2,490294E-1	-5,147064E-1	-8,018258E-2	-1,170071E-1
2,888894E-1	8,675492E-3	-7,558882E-1	3,213827E-1	-2,490175E-1	-5,149329E-1	-8,009913E-2	-1,169594E-1
2,888894E-1	8,782780E-3	-7,559002E-1	3,215615E-1	-2,492202E-1	-5,148614E-1	-8,001568E-2	-1,170190E-1
2,890801E-1	8,866227E-3	-7,558406E-1	3,218237E-1	-2,495301E-1	-5,145634E-1	-8,009913E-2	-1,169356E-1
2,890205E-1	8,985436E-3	-7,558882E-1	3,218953E-1	-2,495301E-1	-5,146230E-1	-7,988455E-2	-1,168998E-1
2,889609E-1	8,985436E-3	-7,559002E-1	3,217045E-1	-2,494586E-1	-5,146707E-1	-7,992032E-2	-1,169713E-1
2,888775E-1	8,794701E-3	-7,559121E-1	3,213946E-1	-2,493871E-1	-5,147899E-1	-8,018258E-2	-1,170905E-1
2,890086E-1	8,758938E-3	-7,558882E-1	3,213469E-1	-2,494228E-1	-5,149329E-1	-8,013489E-2	-1,171263E-1
