Datei_ID,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
86,116,-232,15,2.999,3.38875,3.056625,2.71625,3.291125,3.3000000000000003,2.642625,3.0235
87,116,-290,15,3.058625,3.576375,3.070625,2.864375,3.3605,3.49525,2.77975,3.058625
88,174,290,15,3.082625,3.499625,3.11075,2.91475,2.3345,3.4355,3.19525,3.105
89,174,232,15,3.07075,3.335375,3.06125,2.822875,2.236625,3.181375,3.14625,3.084625
90,174,174,15,3.0585,3.109875,3.0245,2.7765,2.560625,2.90025,3.1255,3.08775
91,174,116,15,3.037875,2.853625,2.9995000000000003,2.728875,2.834,2.505875,3.119625,3.0655
92,174,58,15,3.017,2.58625,2.99275,2.76525,3.14225,1.935,3.146,3.080125
93,174,0,15,2.985625,2.521625,3.0025,2.842,3.380625,1.534625,3.10825,3.078625
94,174,-58,15,2.97525,2.735,3.028625,2.83,3.3245,2.26825,2.917875,3.056625
95,174,-116,15,2.975375,2.9735,3.04375,2.844,3.313625,2.7215000000000003,2.7795,3.060625
96,174,-174,15,2.9725,3.145125,3.048375,2.832,3.30575,3.03925,2.559875,3.05875
97,174,-232,15,2.994875,3.35025,3.065125,2.8705000000000003,3.3485,3.2927500000000003,2.40775,3.061125
98,174,-290,15,3.0191250000000003,3.51375,3.077875,2.970875,3.4235,3.4798750000000003,2.512625,3.092375
99,232,290,15,3.099375,3.46725,3.101375,3.0295,1.90675,3.462,3.195875,3.1195
100,232,232,15,3.07925,3.305,3.053375,2.976625,2.01925,3.18625,3.142,3.103625
101,232,174,15,3.064625,3.128625,3.029,2.966875,2.36625,2.926875,3.125,3.10225
102,232,116,15,3.052,2.95525,3.02325,2.957375,2.73825,2.66025,3.136375,3.11175
103,232,58,15,3.020875,2.712125,2.999875,2.9795000000000003,3.2095,2.08325,3.208125,3.1245000000000003
104,232,0,15,2.97175,2.5500000000000003,2.991,2.97975,3.475125,1.286875,3.125375,3.103875
105,232,-58,15,2.96775,2.759625,3.014,2.9602500000000003,3.3685,2.305875,2.845875,3.087
106,232,-116,15,2.986125,3.020875,3.047625,2.9795000000000003,3.326875,2.830125,2.63625,3.094625
107,232,-174,15,2.998625,3.223125,3.06075,2.990625,3.34275,3.118375,2.410125,3.100375
108,232,-232,15,3.005,3.3668750000000003,3.0715,2.995875,3.372625,3.33875,2.11125,3.095625
109,232,-290,15,3.0145,3.505125,3.091,3.051375,3.4445,3.513,2.229125,3.131625
110,290,290,15,3.10775,3.488875,3.121125,3.247875,1.087625,3.569375,3.16525,3.140375
111,290,232,15,3.099625,3.378,3.10675,3.200875,1.667125,3.343125,3.1265,3.13775
112,290,174,15,3.081375,3.261875,3.0785,3.1715,2.3625000000000003,3.1225,3.131375,3.145
113,290,116,15,3.06675,3.1225,3.062375,3.159125,2.828125,2.93325,3.170875,3.159875
114,290,58,15,3.036,2.8941250000000003,3.016875,3.125,3.233375,2.406625,3.257,3.16275
115,290,0,15,2.978875,2.66675,2.99625,3.1012500000000003,3.56725,0.929875,3.23775,3.1455
116,290,-58,15,3.012125,2.98475,3.0423750000000003,3.1317500000000003,3.44,2.6645,2.87275,3.1477500000000003
117,290,-116,15,3.04125,3.204875,3.071375,3.11375,3.394875,3.086125,2.594875,3.14975
118,290,-174,15,3.051125,3.341875,3.0845,3.118375,3.380125,3.331875,2.20825,3.1635
119,290,-232,15,3.05925,3.430625,3.095875,3.1075,3.40375,3.472125,1.7725,3.1665
120,290,-290,15,3.059125,3.52425,3.111625,3.124625,3.442375,3.59425,1.512125,3.2035
