channel names:							
030_116_174_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	030_116_174_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	030_116_174_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	030_116_174_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	030_116_174_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	030_116_174_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	030_116_174_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	030_116_174_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:22:53,619951	23.05.2024 15:22:53,619951	23.05.2024 15:22:53,619951	23.05.2024 15:22:53,619951	23.05.2024 15:22:53,619951	23.05.2024 15:22:53,619951	23.05.2024 15:22:53,619951	23.05.2024 15:22:53,619951
dt:							
0,020000							
data:							
2,967334E-1	4,702512E-2	-7,250488E-1	2,338354E-1	-5,258334E-1	-4,325951E-1	-4,891398E-2	-2,282770E-1
2,966976E-1	4,709665E-2	-7,250726E-1	2,341095E-1	-5,256665E-1	-4,324163E-1	-4,891398E-2	-2,282770E-1
2,967095E-1	4,712049E-2	-7,249653E-1	2,342764E-1	-5,256784E-1	-4,324282E-1	-4,885437E-2	-2,283366E-1
2,966976E-1	4,713241E-2	-7,249653E-1	2,342407E-1	-5,257023E-1	-4,324401E-1	-4,871132E-2	-2,282889E-1
2,968287E-1	4,718009E-2	-7,249653E-1	2,342764E-1	-5,254281E-1	-4,323805E-1	-4,877093E-2	-2,283247E-1
2,966976E-1	4,703704E-2	-7,250130E-1	2,341095E-1	-5,255235E-1	-4,324163E-1	-4,896166E-2	-2,283843E-1
2,966022E-1	4,698936E-2	-7,249415E-1	2,340261E-1	-5,254281E-1	-4,324163E-1	-4,894974E-2	-2,282651E-1
2,966499E-1	4,702512E-2	-7,249057E-1	2,340738E-1	-5,257738E-1	-4,325116E-1	-4,889014E-2	-2,283366E-1
2,967572E-1	4,704896E-2	-7,249296E-1	2,339903E-1	-5,258096E-1	-4,325474E-1	-4,896166E-2	-2,284678E-1
2,966976E-1	4,710857E-2	-7,247627E-1	2,342645E-1	-5,258215E-1	-4,324759E-1	-4,908087E-2	-2,283366E-1
2,967214E-1	4,710857E-2	-7,248342E-1	2,341930E-1	-5,260361E-1	-4,324163E-1	-4,914048E-2	-2,283009E-1
2,967095E-1	4,707280E-2	-7,249057E-1	2,339784E-1	-5,258811E-1	-4,324878E-1	-4,905703E-2	-2,282413E-1
2,967810E-1	4,696552E-2	-7,248819E-1	2,341334E-1	-5,256308E-1	-4,324878E-1	-4,908087E-2	-2,281936E-1
2,967334E-1	4,697744E-2	-7,247746E-1	2,340857E-1	-5,257738E-1	-4,323447E-1	-4,904511E-2	-2,283247E-1
2,967810E-1	4,701320E-2	-7,247865E-1	2,342168E-1	-5,256784E-1	-4,323328E-1	-4,904511E-2	-2,282293E-1
2,968406E-1	4,702512E-2	-7,248223E-1	2,343360E-1	-5,255592E-1	-4,323090E-1	-4,891398E-2	-2,282055E-1
2,968287E-1	4,709665E-2	-7,249296E-1	2,342883E-1	-5,256546E-1	-4,323090E-1	-4,887822E-2	-2,282174E-1
2,967930E-1	4,702512E-2	-7,247865E-1	2,341572E-1	-5,257380E-1	-4,323328E-1	-4,891398E-2	-2,281817E-1
2,967095E-1	4,687015E-2	-7,247746E-1	2,338950E-1	-5,257500E-1	-4,324759E-1	-4,874709E-2	-2,281817E-1
2,968287E-1	4,697744E-2	-7,248581E-1	2,338711E-1	-5,258096E-1	-4,324759E-1	-4,871132E-2	-2,281817E-1
2,968049E-1	4,692975E-2	-7,248104E-1	2,340499E-1	-5,257857E-1	-4,324282E-1	-4,908087E-2	-2,282055E-1
2,968645E-1	4,704896E-2	-7,247865E-1	2,341334E-1	-5,258215E-1	-4,323328E-1	-4,902127E-2	-2,281697E-1
2,967334E-1	4,702512E-2	-7,247746E-1	2,342287E-1	-5,257023E-1	-4,323209E-1	-4,884245E-2	-2,281340E-1
2,966976E-1	4,698936E-2	-7,248104E-1	2,340857E-1	-5,257977E-1	-4,323447E-1	-4,894974E-2	-2,281936E-1
2,968168E-1	4,700128E-2	-7,249415E-1	2,338473E-1	-5,257857E-1	-4,324639E-1	-4,896166E-2	-2,282651E-1
2,967453E-1	4,698936E-2	-7,248819E-1	2,339307E-1	-5,258215E-1	-4,325712E-1	-4,875901E-2	-2,282770E-1
2,967214E-1	4,706088E-2	-7,249415E-1	2,340976E-1	-5,260599E-1	-4,324639E-1	-4,883053E-2	-2,282651E-1
2,967095E-1	4,704896E-2	-7,248819E-1	2,342168E-1	-5,260122E-1	-4,323567E-1	-4,890206E-2	-2,282174E-1
2,967453E-1	4,706088E-2	-7,249773E-1	2,340499E-1	-5,259049E-1	-4,324520E-1	-4,889014E-2	-2,282532E-1
2,966380E-1	4,706088E-2	-7,250607E-1	2,339426E-1	-5,256784E-1	-4,325474E-1	-4,900935E-2	-2,281697E-1
2,967095E-1	4,710857E-2	-7,250369E-1	2,341334E-1	-5,255592E-1	-4,325712E-1	-4,892590E-2	-2,281697E-1
2,967572E-1	4,718009E-2	-7,248461E-1	2,339903E-1	-5,258334E-1	-4,323686E-1	-4,911664E-2	-2,282889E-1
2,968287E-1	4,708472E-2	-7,247508E-1	2,338950E-1	-5,258215E-1	-4,324282E-1	-4,904511E-2	-2,281697E-1
2,967453E-1	4,701320E-2	-7,249534E-1	2,339188E-1	-5,258096E-1	-4,324163E-1	-4,887822E-2	-2,281221E-1
2,967095E-1	4,720393E-2	-7,249653E-1	2,336565E-1	-5,259407E-1	-4,324520E-1	-4,893782E-2	-2,280982E-1
2,966857E-1	4,721586E-2	-7,249296E-1	2,337042E-1	-5,259645E-1	-4,324520E-1	-4,899743E-2	-2,281697E-1
2,967572E-1	4,712049E-2	-7,249773E-1	2,337042E-1	-5,261314E-1	-4,324520E-1	-4,869940E-2	-2,282174E-1
2,967691E-1	4,720393E-2	-7,250607E-1	2,337161E-1	-5,259526E-1	-4,325474E-1	-4,867556E-2	-2,281578E-1
2,967095E-1	4,719201E-2	-7,249773E-1	2,338830E-1	-5,258573E-1	-4,324520E-1	-4,880669E-2	-2,281459E-1
2,967453E-1	4,707280E-2	-7,249534E-1	2,340022E-1	-5,257261E-1	-4,324639E-1	-4,862788E-2	-2,283009E-1
2,968168E-1	4,697744E-2	-7,249653E-1	2,341334E-1	-5,256904E-1	-4,324163E-1	-4,865172E-2	-2,282889E-1
2,966618E-1	4,698936E-2	-7,248581E-1	2,340499E-1	-5,259169E-1	-4,324282E-1	-4,877093E-2	-2,282770E-1
