channel names:							
012_-290_232_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	012_-290_232_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	012_-290_232_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	012_-290_232_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	012_-290_232_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	012_-290_232_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	012_-290_232_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	012_-290_232_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497	23.05.2024 14:46:37,713497
dt:							
0,020000							
data:							
3,065085E-1	1,994077E-2	-7,088363E-1	2,383057E-1	-3,991855E-1	-4,221404E-1	-4,874709E-2	-3,356057E-2
3,064608E-1	2,009574E-2	-7,087290E-1	2,384130E-1	-3,989590E-1	-4,221166E-1	-4,856827E-2	-3,354865E-2
3,064966E-1	1,996461E-2	-7,087410E-1	2,381507E-1	-3,991616E-1	-4,223073E-1	-4,884245E-2	-3,363210E-2
3,065085E-1	1,991693E-2	-7,088125E-1	2,378050E-1	-3,989470E-1	-4,224027E-1	-4,908087E-2	-3,376323E-2
3,064012E-1	1,971427E-2	-7,087767E-1	2,376381E-1	-3,988994E-1	-4,225457E-1	-4,899743E-2	-3,369170E-2
3,064251E-1	1,980964E-2	-7,087648E-1	2,378289E-1	-3,990186E-1	-4,224504E-1	-4,887822E-2	-3,360826E-2
3,065800E-1	1,995269E-2	-7,087767E-1	2,381746E-1	-3,988755E-1	-4,222239E-1	-4,877093E-2	-3,351289E-2
3,065443E-1	2,004806E-2	-7,088959E-1	2,383772E-1	-3,990663E-1	-4,222477E-1	-4,886630E-2	-3,350097E-2
3,065324E-1	2,003614E-2	-7,087886E-1	2,382819E-1	-3,989590E-1	-4,223073E-1	-4,893782E-2	-3,352481E-2
3,064966E-1	1,995269E-2	-7,087290E-1	2,379600E-1	-3,990543E-1	-4,224384E-1	-4,893782E-2	-3,357249E-2
3,064012E-1	1,986924E-2	-7,089198E-1	2,378169E-1	-3,986967E-1	-4,225457E-1	-4,889014E-2	-3,362018E-2
3,064012E-1	2,001230E-2	-7,087290E-1	2,379004E-1	-3,988636E-1	-4,223192E-1	-4,903319E-2	-3,353673E-2
3,064251E-1	2,008382E-2	-7,088125E-1	2,380554E-1	-3,993047E-1	-4,222477E-1	-4,909279E-2	-3,356057E-2
3,065204E-1	2,005998E-2	-7,087886E-1	2,381865E-1	-3,992570E-1	-4,221881E-1	-4,886630E-2	-3,352481E-2
3,065324E-1	1,998845E-2	-7,088721E-1	2,381388E-1	-3,993285E-1	-4,222835E-1	-4,884245E-2	-3,346521E-2
3,064131E-1	2,003614E-2	-7,089079E-1	2,377812E-1	-3,994000E-1	-4,223312E-1	-4,883053E-2	-3,358442E-2
3,064012E-1	1,992885E-2	-7,088482E-1	2,377097E-1	-3,993047E-1	-4,224742E-1	-4,900935E-2	-3,370363E-2
3,064966E-1	1,996461E-2	-7,089317E-1	2,379958E-1	-3,992808E-1	-4,224742E-1	-4,908087E-2	-3,362018E-2
3,065681E-1	2,011958E-2	-7,087886E-1	2,382580E-1	-3,994000E-1	-4,222000E-1	-4,890206E-2	-3,353673E-2
3,066158E-1	2,009574E-2	-7,088602E-1	2,383534E-1	-3,990901E-1	-4,222596E-1	-4,885437E-2	-3,348905E-2
3,065085E-1	1,998845E-2	-7,088125E-1	2,381984E-1	-3,991259E-1	-4,223192E-1	-4,881861E-2	-3,339368E-2
3,065562E-1	1,990501E-2	-7,087886E-1	2,380315E-1	-3,989470E-1	-4,224384E-1	-4,891398E-2	-3,360826E-2
3,065204E-1	1,989309E-2	-7,087171E-1	2,380196E-1	-3,989590E-1	-4,224980E-1	-4,881861E-2	-3,364402E-2
3,065204E-1	1,986924E-2	-7,087171E-1	2,382699E-1	-3,989590E-1	-4,222835E-1	-4,884245E-2	-3,371555E-2
3,065920E-1	2,003614E-2	-7,086456E-1	2,384249E-1	-3,991378E-1	-4,221643E-1	-4,892590E-2	-3,356057E-2
3,065681E-1	2,007190E-2	-7,086337E-1	2,384011E-1	-3,993285E-1	-4,221047E-1	-4,872324E-2	-3,362018E-2
3,064608E-1	2,000037E-2	-7,087052E-1	2,381984E-1	-3,991735E-1	-4,221285E-1	-4,883053E-2	-3,370363E-2
3,064728E-1	2,003614E-2	-7,087648E-1	2,379004E-1	-3,990782E-1	-4,223312E-1	-4,908087E-2	-3,376323E-2
3,064131E-1	2,004806E-2	-7,087648E-1	2,377335E-1	-3,989709E-1	-4,224146E-1	-4,924777E-2	-3,378707E-2
3,065324E-1	1,994077E-2	-7,087052E-1	2,376977E-1	-3,991616E-1	-4,222954E-1	-4,927161E-2	-3,376323E-2
3,064847E-1	1,995269E-2	-7,087648E-1	2,379123E-1	-3,990305E-1	-4,222119E-1	-4,904511E-2	-3,356057E-2
