ID,X,Y,Load_Value,Strain_1,Strain_2,Strain_3,Strain_4,Strain_5,Strain_6,Strain_7,Strain_8
1,-106.79664,-165.02832,50.0,0.0003702126522075748,-0.00013038157909191353,0.00020234546593854574,0.000981384804361022,0.00010991987139838013,0.00033479650136555557,3.501378878062996e-05,0.00037711477282972465
2,77.53392,-261.03003,50.0,0.0002483083946037249,-0.00021817081766337983,0.00028068498198018256,0.0004693078435405387,-0.0002140584618918137,7.536421069531801e-05,0.00010241273986981274,0.0001689954646686817
3,-139.24145,-30.45918,50.0,0.0003909822039118884,-2.1318802874849484e-05,0.00035704835752068873,0.001272400162952246,0.00014811671969926362,0.00031459337021447307,-2.4901762169017085e-05,0.0003262922798856113
4,-304.88566,159.64972,50.0,0.0009545458417448571,0.00017103813432517645,0.00024297030307859126,-0.0024408859242633966,0.0006117126481981459,0.0007111087622801718,4.184496774775782e-05,0.00022698227543798292
5,-339.73606,119.94228,50.0,0.0017033858788841705,9.888557493112915e-05,0.00018094252098313596,-0.0018370076143117493,0.0005344521883881142,0.0007419239313587861,4.418370769792367e-05,0.00020371724082245138
6,27.21021,58.83917,50.0,0.00037484941837211095,-0.0005023756816053745,0.0002807680359343029,-2.1031770635775485e-05,0.000866496990841262,0.00024834305431465026,-0.0004189305691337615,0.0003167741791042684
7,309.36533,-54.15307,50.0,0.00025478268904996384,4.733521007120973e-05,0.0007845005717709587,0.0005975334025388668,-0.0025400529527880144,0.00021179158581075653,7.551820512822989e-05,0.0011173678572321763
8,229.35268,267.13557,50.0,0.00019881324559865285,0.0004924339041937504,0.00023905586011062656,-1.5514342967852002e-05,0.0023416291937708783,0.00014919219571403802,4.236491302711151e-05,0.0006729421422080387
9,-86.07718,-247.11849,50.0,0.0002703968369595228,-0.00018346939560132325,0.00017369810026960514,0.0008643716071208718,5.036551505061839e-05,0.00023807235094479504,0.00010313162763974154,0.0002650209844146373
10,43.8583,-82.9334,50.0,0.0002511458784611461,-0.00033242597098608653,0.0002260947563197586,0.0006628237635376197,-7.326403714269525e-05,0.00028546731084096123,-0.000375429258905349,0.00037109969182756914
11,48.84525,-196.45731,50.0,0.000254933274483345,-0.0002800485531467291,0.0003313814872667951,0.0005066983704910253,-4.91385065563782e-05,0.00025368211796636696,-0.00027814503997751743,0.00028625466725197
12,24.37032,-290.09716,50.0,0.00023550635839787547,-0.0003712676756674276,0.00017516783681650002,0.0004923686812484441,-7.582569512842428e-05,-4.6689400269886436e-05,-0.0006566345540453036,0.00015437234834369537
13,197.98968,245.44483,50.0,0.0002475316151800498,0.00034218827791107555,0.00030117499369866613,3.5687987465402645e-05,0.0018305301097865806,0.00016192916255145865,1.7797957936817058e-05,0.000551491752813955
14,-135.10473,108.26646,50.0,0.00029625443809551996,8.95000905322975e-06,0.00028891940266497683,-0.00019484778625330918,0.0005675972250093701,0.00029400735584877703,-5.1217476438719234e-05,0.0002545959501128361
15,-204.46723,-87.79923,50.0,0.000537536960573414,1.8806176958204664e-05,0.00023633378650028808,0.0013643883231004932,-2.0341009311950625e-05,0.0003670569500140997,8.752438449605148e-05,0.00032098713431582214
