ID,X,Y,Load_Value,Strain_1,Strain_2,Strain_3,Strain_4,Strain_5,Strain_6,Strain_7,Strain_8,Class
1,-106.79664,-165.02832,50.0,0.0003702126522075,-0.0001303815790919,0.0002023454659385,0.000981384804361,0.0001099198713983,0.0003347965013655,3.501378878062996e-05,0.0003771147728297,10
2,77.53392,-261.03003,50.0,0.0002483083946037,-0.0002181708176633,0.0002806849819801,0.0004693078435405,-0.0002140584618918,7.536421069531801e-05,0.0001024127398698,0.0001689954646686,15
3,-139.24145,-30.45918,50.0,0.0003909822039118,-2.1318802874849484e-05,0.0003570483575206,0.0012724001629522,0.0001481167196992,0.0003145933702144,-2.4901762169017085e-05,0.0003262922798856,10
4,-304.88566,159.64972,50.0,0.0009545458417448,0.0001710381343251,0.0002429703030785,-0.0024408859242633,0.0006117126481981,0.0007111087622801,4.184496774775782e-05,0.0002269822754379,5
5,-339.73606,119.94228,50.0,0.0017033858788841,9.888557493112917e-05,0.0001809425209831,-0.0018370076143117,0.0005344521883881,0.0007419239313587,4.418370769792367e-05,0.0002037172408224,5
6,27.21021,58.83917,50.0,0.0003748494183721,-0.0005023756816053,0.0002807680359343,-2.1031770635775485e-05,0.0008664969908412,0.0002483430543146,-0.0004189305691337,0.0003167741791042,7
7,309.36533,-54.15307,50.0,0.0002547826890499,4.733521007120973e-05,0.0007845005717709,0.0005975334025388,-0.002540052952788,0.0002117915858107,7.551820512822989e-05,0.0011173678572321,12
8,229.35268,267.13557,50.0,0.0001988132455986,0.0004924339041937,0.0002390558601106,-1.5514342967852002e-05,0.0023416291937708,0.000149192195714,4.236491302711151e-05,0.000672942142208,4
9,-86.07718,-247.11849,50.0,0.0002703968369595,-0.0001834693956013,0.0001736981002696,0.0008643716071208,5.036551505061839e-05,0.0002380723509447,0.0001031316276397,0.0002650209844146,14
10,43.8583,-82.9334,50.0,0.0002511458784611,-0.000332425970986,0.0002260947563197,0.0006628237635376,-7.326403714269525e-05,0.0002854673108409,-0.0003754292589053,0.0003710996918275,11
11,48.84525,-196.45731,50.0,0.0002549332744833,-0.0002800485531467,0.0003313814872667,0.000506698370491,-4.91385065563782e-05,0.0002536821179663,-0.0002781450399775,0.0002862546672519,15
12,24.37032,-290.09716,50.0,0.0002355063583978,-0.0003712676756674,0.0001751678368165,0.0004923686812484,-7.582569512842428e-05,-4.668940026988644e-05,-0.0006566345540453,0.0001543723483436,15
13,197.98968,245.44483,50.0,0.00024753161518,0.000342188277911,0.0003011749936986,3.5687987465402645e-05,0.0018305301097865,0.0001619291625514,1.7797957936817058e-05,0.0005514917528139,4
14,-135.10473,108.26646,50.0,0.0002962544380955,8.95000905322975e-06,0.0002889194026649,-0.0001948477862533,0.0005675972250093,0.0002940073558487,-5.1217476438719234e-05,0.0002545959501128,6
15,-204.46723,-87.79923,50.0,0.0005375369605734,1.8806176958204664e-05,0.0002363337865002,0.0013643883231004,-2.0341009311950625e-05,0.000367056950014,8.752438449605148e-05,0.0003209871343158,9
16,-32.98073,336.23117,50.0,-9.298340344082498e-05,0.0010664286461128,-0.0002318108063748,-7.21527563400379e-05,0.0003503334253868,0.0001268450796118,-0.0003409251751049,0.0001626660783889,2
17,-64.90309,27.35563,50.0,0.0003649427027495,-0.0002637400801749,0.000265511969222,-0.0002851955828577,0.000665711527166,0.0002661408169401,-0.0002565333577304,0.0002911891699876,6
18,-155.18409,-250.40412,50.0,0.0003795287677155,-4.8137164650968935e-05,0.0001575403092604,0.0012922875666595,5.255169637470856e-05,0.0001871044907428,0.0003108474274514,0.0002453967048542,14
19,103.22726,274.04062,50.0,0.0002018038251416,0.0002725340554737,0.0001130843470115,5.657171794650181e-05,0.0009039788212778,0.0001538252886439,-0.0001460651242204,0.0002682457042216,3
20,189.17852,241.08868,50.0,0.0002505457929583,0.0003196262086402,0.000231976185426,3.923892750670739e-05,0.001685787355332,0.0001634125790521,4.003000659040272e-06,0.0005094245431033,4
21,-112.20186,303.90331,50.0,4.407057278955298e-05,0.0005361921234384,-0.0001105269275374,-0.0004287503977756,0.000387084531431,0.0002310651183984,-0.0001247344771502,0.0002021011940102,2
22,-135.01042,217.71905,50.0,0.0001696987221584,0.0001650158029425,0.0001780050760609,-0.0005072215169889,0.0005003111318742,0.0003328892812092,-8.247884737012366e-05,0.0002775556863874,2
23,-297.69578,-235.0437,50.0,0.00090806512947,4.457742057333831e-05,0.0001368641705204,0.0036302355998086,-6.619176355791524e-05,0.0007810676743147,0.0003728118037988,0.0002208046766656,13
24,-314.53846,149.0026,50.0,0.0012285346125365,0.0001501297730356,0.0002338811226408,-0.0025777433121669,0.0005713326993305,0.0007318177333403,5.350873034591165e-05,0.0002475440610894,5
25,-320.92131,294.30094,50.0,0.0007237638559988,0.0008347513624295,-0.000145447332655,-0.0021234479908987,0.0004104902975769,0.0006874479661599,4.970442906767842e-05,0.0001507477408758,1
26,188.94045,324.96301,50.0,3.00385405818176e-05,0.001110108536299,-0.0004814302753928,-5.680700257224276e-05,0.0016043018546446,0.000102110742202,2.557385341375429e-05,0.0004316765815739,4
27,239.06476,207.04865,50.0,0.0003194750942054,0.0002554067534868,0.0003947634909554,-5.44990716174913e-06,0.0023156477635621,0.0001799934799153,2.6937933174504107e-05,0.0006968013566084,4
28,-311.57,-151.2899,50.0,0.0009159552537946,4.303600217456979e-05,0.0001751718907424,0.0037750029891888,-0.0001091449289125,0.0009117437629171,0.0001590614893776,0.0002252832065205,9
29,-220.58795,52.65141,50.0,0.0004227939558049,8.631584482508852e-05,0.0003879076511377,-0.0007947172033872,0.0007168279311643,0.0004409759584066,3.685145384091388e-05,0.0003330837795441,5
30,-196.82472,342.25826,50.0,-0.0007955551176357,0.001398385119646,-0.0001494575472939,-0.001083035551427,0.0003673880855624,0.0003562926750606,3.91890821996806e-05,0.0001344856332627,1
31,-96.08502,331.15631,50.0,-0.0001447486591712,0.0012224794308726,-0.0001893768426607,-0.0002960320595655,0.0003405550196705,0.0001669484750267,-0.0001614509443293,0.0001738521179503,2
32,-296.96891,80.13725,50.0,0.0009245250268721,9.157635069380736e-05,0.0002337170549727,-0.0020007784663688,0.0006459515936249,0.0007074787903465,4.139307100477834e-05,0.0002766492709005,5
33,-260.94753,284.219,50.0,-0.0003722786795833,0.000666992696993,-8.237423316946027e-05,-0.0020372166861576,0.0004613777719204,0.0005895104078577,6.198742531142947e-05,0.000195999580957,1
34,13.04186,-251.29056,50.0,0.0002790626919101,-0.0003854129018564,0.000202852761698,0.0005425578153555,-3.2872980904428205e-05,0.000143770406563,-0.0011308438861062,0.0002367529307898,15
35,39.54749,40.51887,50.0,0.0003468220599821,-0.0004155606427111,0.0002780644106775,-4.800541996094455e-05,0.0009189440020444,0.0002537479916718,-0.0003800056494437,0.0003451637828811,7
36,-119.91404,-98.27209,50.0,0.0003773650656999,-6.445901474686582e-05,0.0003103000650116,0.0008514811809117,0.000140236072133,0.0003115744443646,-3.531543610221744e-05,0.0003926441796572,10
37,12.90906,-231.68938,50.0,0.0002652962552818,-0.0003710653437496,0.000222719264855,0.0005536887212948,-4.083767164519636e-06,0.0002014764313469,-0.0010553914946949,0.0002722828481325,15
38,127.68726,98.1837,50.0,0.0003643781237006,-1.79836617222619e-05,0.0003288735440688,0.0001466002385159,0.0008823781429544,0.0003031512016823,-5.345358888999327e-05,0.0004108440544266,7
39,110.11696,-48.89795,50.0,0.0002356449073208,-8.543572142126092e-05,0.0002622700155975,0.0006105566021886,-0.0003591512208202,0.0002863532121537,-8.921950999214068e-05,0.0003696454610787,11
40,-98.99937,-328.25396,50.0,0.0002427228996042,-0.0001489937632236,0.0001200072967534,0.0007245882704641,7.351032623293035e-06,-0.0003928348182775,0.001101450704995,5.689912447555791e-06,14
41,191.51709,282.05866,50.0,0.0001579786654763,0.0005304912303891,0.0001938364510055,5.776656502234716e-06,0.0017309363934106,0.0001471275396876,6.100125060523822e-06,0.0004862623844842,4
42,305.46575,-64.90396,50.0,0.000265492153686,3.890211450961896e-05,0.0007414667902595,0.0006169411504136,-0.0022615385525072,0.0002259409728714,8.278627276706287e-05,0.0010673894816913,12
43,-285.78495,-32.81022,50.0,0.0008619607219969,4.666774196306425e-05,0.000225886261529,0.0028889441366651,1.645131439640833e-05,0.0006245688134886,7.248767806027398e-05,0.0003013807669306,9
44,20.52442,187.10691,50.0,0.0003323096907382,-0.0007161533885186,0.000294695594483,0.0001146488960689,0.0006283479523597,0.0002670127834475,-0.0003282617375521,0.0002202983500358,3
45,-68.80285,174.15784,50.0,0.0002836285541648,-0.0001393953308879,0.0002612425294805,-0.0001021357126596,0.0004814999545076,0.0002893147997593,-0.0002224219959322,0.0002401353058845,6
