date,time,X,Y,F,Sensor R1,Sensor R2,Sensor R3,Sensor R4,Sensor R5,Sensor R6,Sensor R7,Sensor R8
2026-04-16,14:58:15.204,-120.0,120.0,10.168919884049911,2.375125,2.53175,2.501375,2.52975,2.68375,2.6165000000000003,2.552125,3.77
2026-04-16,14:58:15.220,-120.0,120.0,10.17313590723993,2.375125,2.53175,2.501375,2.52975,2.68375,2.6165000000000003,2.552125,3.77
2026-04-16,14:58:15.240,-120.0,120.0,10.176508725791944,2.375125,2.53175,2.501375,2.52975,2.68375,2.6165000000000003,2.552125,3.77
2026-04-16,14:58:15.253,-120.0,120.0,10.181206980633554,2.38875,2.52575,2.5060000000000002,2.5245,2.6895000000000002,2.6175,2.531875,3.77
2026-04-16,14:58:15.285,-120.0,120.0,10.182965584506844,2.38875,2.52575,2.5060000000000002,2.5245,2.6895000000000002,2.6175,2.531875,3.77
2026-04-16,14:58:15.301,-120.0,120.0,10.182372467605475,2.38875,2.52575,2.5060000000000002,2.5245,2.6895000000000002,2.6175,2.531875,3.77
2026-04-16,14:58:15.316,-120.0,120.0,10.179897974084382,2.38875,2.52575,2.5060000000000002,2.5245,2.6895000000000002,2.6175,2.531875,3.77
2026-04-16,14:58:15.332,-120.0,120.0,10.173918379267505,2.38875,2.52575,2.5060000000000002,2.5245,2.6895000000000002,2.6175,2.531875,3.77
2026-04-16,14:58:15.364,-120.0,120.0,10.165134703414004,2.39275,2.52325,2.5095,2.52475,2.69125,2.613,2.49325,3.7691250000000003
2026-04-16,14:58:15.381,-120.0,120.0,10.154107762731204,2.39275,2.52325,2.5095,2.52475,2.69125,2.613,2.49325,3.7691250000000003
2026-04-16,14:58:15.397,-120.0,120.0,10.143286210184963,2.39275,2.52325,2.5095,2.52475,2.69125,2.613,2.49325,3.7691250000000003
2026-04-16,14:58:15.445,-120.0,120.0,10.132628968147971,2.39275,2.52325,2.5095,2.52475,2.69125,2.613,2.49325,3.7691250000000003
2026-04-16,14:58:15.463,-120.0,120.0,10.122103174518378,2.384125,2.52725,2.508375,2.52225,2.694,2.6125000000000003,2.457125,3.76975
2026-04-16,14:58:15.478,-120.0,120.0,10.115682539614703,2.384125,2.52725,2.508375,2.52225,2.694,2.6125000000000003,2.457125,3.76975
2026-04-16,14:58:15.493,-120.0,120.0,10.114546031691763,2.384125,2.52725,2.508375,2.52225,2.694,2.6125000000000003,2.457125,3.76975
2026-04-16,14:58:15.525,-120.0,120.0,10.11963682535341,2.384125,2.52725,2.508375,2.52225,2.694,2.6125000000000003,2.457125,3.76975
2026-04-16,14:58:15.541,-120.0,120.0,10.127709460282729,2.384125,2.52725,2.508375,2.52225,2.694,2.6125000000000003,2.457125,3.76975
2026-04-16,14:58:15.564,-120.0,120.0,10.138167568226184,2.395625,2.52475,2.509,2.51725,2.690125,2.614125,2.46775,3.7695000000000003
2026-04-16,14:58:15.572,-120.0,120.0,10.148534054580947,2.395625,2.52475,2.509,2.51725,2.690125,2.614125,2.46775,3.7695000000000003
2026-04-16,14:58:15.604,-120.0,120.0,10.154827243664759,2.395625,2.52475,2.509,2.51725,2.690125,2.614125,2.46775,3.7695000000000003
2026-04-16,14:58:15.620,-120.0,120.0,10.153861794931807,2.395625,2.52475,2.509,2.51725,2.690125,2.614125,2.46775,3.7695000000000003
2026-04-16,14:58:15.636,-120.0,120.0,10.149089435945445,2.395625,2.52475,2.509,2.51725,2.690125,2.614125,2.46775,3.7695000000000003
