channel names:							
025_-174_174_50 - Brücke (V/V) - R0__PXI1Slot2_ai0	025_-174_174_50 - Brücke (V/V) - R1__PXI1Slot2_ai1	025_-174_174_50 - Brücke (V/V) - R2__PXI1Slot2_ai2	025_-174_174_50 - Brücke (V/V) - R3__PXI1Slot2_ai3	025_-174_174_50 - Brücke (V/V) - R4__PXI1Slot2_ai4	025_-174_174_50 - Brücke (V/V) - R5__PXI1Slot2_ai5	025_-174_174_50 - Brücke (V/V) - R6__PXI1Slot2_ai6	025_-174_174_50 - Brücke (V/V) - R7__PXI1Slot2_ai7
start times:							
23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752	23.05.2024 15:15:50,527752
dt:							
0,020000							
data:							
2,961254E-1	2,803508E-2	-7,257640E-1	2,326313E-1	-5,311382E-1	-4,338587E-1	-5,122664E-2	-9,904224E-2
2,961015E-1	2,814237E-2	-7,257402E-1	2,325240E-1	-5,309952E-1	-4,338825E-1	-5,115511E-2	-9,908992E-2
2,961969E-1	2,803508E-2	-7,257164E-1	2,324525E-1	-5,310667E-1	-4,339302E-1	-5,132201E-2	-9,916145E-2
2,961373E-1	2,801124E-2	-7,257164E-1	2,324525E-1	-5,309833E-1	-4,339898E-1	-5,122664E-2	-9,912568E-2
2,960777E-1	2,813045E-2	-7,256329E-1	2,323929E-1	-5,308640E-1	-4,340375E-1	-5,104783E-2	-9,907800E-2
2,961850E-1	2,805892E-2	-7,256806E-1	2,324525E-1	-5,308998E-1	-4,339779E-1	-5,103590E-2	-9,914953E-2
2,961254E-1	2,802316E-2	-7,258117E-1	2,327505E-1	-5,309952E-1	-4,339183E-1	-5,100014E-2	-9,900647E-2
2,961135E-1	2,793971E-2	-7,257640E-1	2,327982E-1	-5,311621E-1	-4,338229E-1	-5,113127E-2	-9,900647E-2
2,961612E-1	2,796355E-2	-7,257164E-1	2,328936E-1	-5,310429E-1	-4,338825E-1	-5,117896E-2	-9,897071E-2
2,960896E-1	2,795163E-2	-7,256925E-1	2,328817E-1	-5,312694E-1	-4,338468E-1	-5,120280E-2	-9,905416E-2
2,960539E-1	2,799932E-2	-7,256568E-1	2,326194E-1	-5,313051E-1	-4,338825E-1	-5,119088E-2	-9,901839E-2
2,960181E-1	2,797548E-2	-7,256806E-1	2,326433E-1	-5,312098E-1	-4,338945E-1	-5,120280E-2	-9,898263E-2
2,960777E-1	2,808276E-2	-7,256568E-1	2,326790E-1	-5,314243E-1	-4,339898E-1	-5,121472E-2	-9,911376E-2
2,961731E-1	2,810661E-2	-7,256925E-1	2,325717E-1	-5,313528E-1	-4,339541E-1	-5,109551E-2	-9,899455E-2
2,961969E-1	2,802316E-2	-7,256329E-1	2,325837E-1	-5,311502E-1	-4,339183E-1	-5,108359E-2	-9,895879E-2
2,960896E-1	2,813045E-2	-7,256329E-1	2,325360E-1	-5,314005E-1	-4,339660E-1	-5,101206E-2	-9,894687E-2
2,961731E-1	2,791587E-2	-7,256925E-1	2,326433E-1	-5,309952E-1	-4,340613E-1	-5,089285E-2	-9,886342E-2
