# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,2.028247663871851972e-03
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,5.354131895027805380e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,-6.160873034277095789e-05
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,-1.809025337293067521e-03
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,4.437635536615986234e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,6.725471008456545370e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,3.774069215029737790e-05
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,1.402196455547857822e-04
