# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,2.686586055011403991e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,-3.082060526960359536e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,3.514405775608938688e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,6.573938910871926803e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,1.615318525379657558e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,2.832089504858968198e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-4.142638779940606484e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,3.819082809904701800e-04
