# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,3.063511384426278127e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,-5.181751791687796982e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,2.676989234234806092e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,9.928774880960492563e-05
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,6.649473042277364698e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,2.043504584965918826e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-3.280777022570359664e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,2.369125619480588437e-04
