# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,2.018038251416536455e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,2.725340554737042467e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,1.130843470115815418e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,5.657171794650181414e-05
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,9.039788212778260713e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,1.538252886439262098e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-1.460651242204472880e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,2.682457042216716088e-04
