# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,2.414942362007414496e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,-1.587777445650452875e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,3.725373871579128670e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,4.806150917358768620e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,-8.885613100369643691e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,9.643116235641467464e-05
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,3.290186106465780485e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,1.219796180691150588e-04
