# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,6.219665678714415488e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,1.658560454404930625e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,1.612457869762608156e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,2.053010013865290938e-03
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,3.761876661468746628e-05
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,3.950472104613949893e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,3.784993520903897441e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,2.384104351241331655e-04
