# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,-2.280787566254315459e-05
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,1.855847633497906138e-03
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,-4.440723230786856033e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,1.598845076316237506e-06
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,6.812088455106328488e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,1.032352383629223330e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-1.352041530474218920e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,2.305227666371866891e-04
