# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,8.076358668765822512e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,3.789624443509423342e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,1.275928136536748120e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,3.303716105090974062e-03
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,-1.306625973398643976e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,2.438839512484494015e-03
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,3.529249590004030802e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,1.447767052190043389e-04
