# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,-1.033433305088561399e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,6.388285946195835282e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,-9.765161308033094541e-05
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,-7.749595058569394308e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,3.871754255231684241e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,3.405958309865080263e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-1.028803815086031624e-05
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,1.944705035278419532e-04
