# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,1.664951115332622105e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,2.423423527987868936e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,6.775909819408726029e-05
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,-3.364308983243267394e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,4.560003141588339550e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,3.175424936846193654e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-1.305984635307141635e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,2.413598429300404559e-04
