# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,1.506921648198923940e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,2.188802337596247669e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,-2.519168064281642415e-06
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,-2.451437497927467916e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,4.336610781525181016e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,2.433414707237248375e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-2.046163629853698642e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,2.341041107803952265e-04
