# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,8.542235189701188154e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,4.242434504960267914e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,7.090534536396136012e-05
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,3.527524831826749606e-03
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,-4.972057535087928308e-05
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,-2.209768059750600818e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,1.320944957549843998e-03
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,-4.660448931066896492e-05
