# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,3.735078638757118779e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,7.077829400967327537e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,3.404496243734232903e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,-5.360037747653474292e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,6.983491906705019750e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,3.949051310072731460e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,2.208449922843366161e-05
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,3.210299992544207639e-04
