# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,2.048129636396254691e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,-1.463387116429436371e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,2.542253699602532008e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,5.702627362718264755e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,-1.233970535906821285e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,2.978614667318819974e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-1.407833977848780454e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,3.499661553014568648e-04
