# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,6.450099384598366329e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,1.989248120015597022e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,1.936911491413101816e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,1.917237524658564661e-03
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,2.493849638726488064e-05
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,3.658471566452670522e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,1.327839098136998890e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,3.085843593813996787e-04
