# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,5.717710394082494482e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,4.806131414367047428e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,1.265337155113715497e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,2.164458586667117844e-03
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,-4.285220460676942298e-05
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,-7.155386081452503233e-05
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,8.454087902544314128e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,8.222632390598906148e-05
