# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,2.871386632296960852e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,-1.647833116990878434e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,2.969366831482907892e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,5.388120699759092400e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,-2.254712429960818167e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,2.421196833842518062e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-1.082361014157985955e-05
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,2.518402136577784010e-04
