# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.000000000000000000e+02,1.793185245472339432e-04
2.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,-1.532810763823898130e-03
3.000000000000000000e+00,-3.500000000000000000e+02,-3.000000000000000000e+02,-8.788024410416023073e-05
4.000000000000000000e+00,-3.000000000000000000e+02,-3.500000000000000000e+02,-1.353499596724428800e-04
5.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,3.512342782098481087e-05
6.000000000000000000e+00,3.000000000000000000e+02,-3.500000000000000000e+02,1.529786431842137455e-04
7.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,3.653621391782691050e-04
8.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,2.354627301497033698e-04
9.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,1.138198654180843110e-04
