# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,7.194521310843874674e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,4.016024997641547779e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,2.260718193818784800e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,1.915109819353983441e-03
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,-1.174570199058635350e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,4.786144817415279441e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,1.130946621957996305e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,2.553706385199015468e-04
