# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,3.077454526539389647e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,7.183381944700682863e-06
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,2.934662865296679243e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,-2.110253124720618901e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,5.701294596259607207e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,2.970327078958345866e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-3.828368508719923625e-05
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,2.282369162987181769e-04
