# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,2.286819748397571502e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,-2.429895202839126806e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,2.977196904892625011e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,5.735801443782194160e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,-6.058343982559736369e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,3.181089341834151380e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-2.355739962151677075e-05
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,3.655590441859574657e-04
