# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,-1.165225428572388771e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,1.665648509814901274e-03
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,-2.578073397270649273e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,-3.852686236947246623e-05
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,3.362997639216021642e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,1.029805085664954416e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-3.580905074630283944e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,1.480271931812482714e-04
