# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,3.202327224423289344e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,-1.303635892373254754e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,2.693808968015075117e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,3.020587219464446432e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,5.495382019336584028e-04
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,2.517808583602065397e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-1.418943239229172100e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,3.791205337306353604e-04
