# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,2.874623062903534248e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,2.420094396829693340e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,3.356613509773065276e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,1.621970929400001976e-04
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,1.575912542471566207e-03
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,3.763183410685551236e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,1.546552467835022053e-05
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,4.137352035761134137e-04
