# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,3.388848353041004277e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,1.651164423786645528e-04
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,3.328983993801659658e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,4.163520551744423947e-05
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,1.348968107689022065e-03
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,2.034599635675200628e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,-3.724861009029500826e-05
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,4.760581314648494925e-04
