# id,point x in mm,point y in mm,strain in 1
1.000000000000000000e+00,-3.500000000000000000e+02,3.500000000000000000e+02,4.130363859865769367e-04
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+02,-5.355809314882367417e-05
3.000000000000000000e+00,3.500000000000000000e+02,3.500000000000000000e+02,1.830714919034717139e-04
4.000000000000000000e+00,-3.500000000000000000e+02,0.000000000000000000e+00,1.247086026196762539e-03
5.000000000000000000e+00,3.500000000000000000e+02,0.000000000000000000e+00,5.647619301811546719e-05
6.000000000000000000e+00,-3.500000000000000000e+02,-3.500000000000000000e+02,3.094323731642188735e-04
7.000000000000000000e+00,0.000000000000000000e+00,-3.500000000000000000e+02,1.746567519652459874e-04
8.000000000000000000e+00,3.500000000000000000e+02,-3.500000000000000000e+02,3.135823859721298748e-04
